node_id,node_group,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Pancreatic_A_Cell_1,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_2,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_3,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_4,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_5,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_6,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_7,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_8,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_9,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_10,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_11,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_12,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_13,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_14,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_15,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_16,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_17,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_18,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_19,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_20,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
Pancreatic_A_Cell_21,Pancreatic_A_Cell,pancreatic A cell,CL:0000171,islet of Langerhans,UBERON:0000006,Pancreas,UBERON:0001264
