node_id,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Cortical_Collecting_Duct_Principal_Cell_1,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_2,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_3,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_4,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_5,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_6,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_7,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_8,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Principal_Cell_9,kidney cortex collecting duct principal cell,CL:1000714,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Intercalated_Cell_Type_B_1,kidney collecting duct beta-intercalated cell,CL:4030005,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Intercalated_Cell_Type_B_2,kidney collecting duct beta-intercalated cell,CL:4030005,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Intercalated_Cell_Type_A_1,kidney collecting duct alpha-intercalated cell,CL:4030015,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Intercalated_Cell_Type_A_2,kidney collecting duct alpha-intercalated cell,CL:4030015,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Intercalated_Cell_Type_A_3,kidney collecting duct alpha-intercalated cell,CL:4030015,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Cortical_Collecting_Duct_Intercalated_Cell_Type_A_4,kidney collecting duct alpha-intercalated cell,CL:4030015,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Endothelium_Peritubular_Capillary_1,peritubular capillary endothelial cell,CL:1001033,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Endothelium_Peritubular_Capillary_2,peritubular capillary endothelial cell,CL:1001033,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Endothelium_Peritubular_Capillary_3,peritubular capillary endothelial cell,CL:1001033,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Endothelium_Peritubular_Capillary_4,peritubular capillary endothelial cell,CL:1001033,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
Endothelium_Peritubular_Capillary_5,peritubular capillary endothelial cell,CL:1001033,Cortical Collecting Duct,UBERON:0004203,Kidney,UBERON:0002113
