node_id,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_1,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_2,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_3,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_4,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_5,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_6,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_7,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_8,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_9,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Terminal_Ciliated_Ducts_10,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
