"Anatomical Structures, Cell Types and Biomarkers Table for Spinal Cord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Vilas Menon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-4096-8601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Yadav, Matson et al. (2023) https://doi.org/10.1016/j.neuron.2023.01.007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM869.WZFK.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/1/NOTE,AS/1/ABBR,AS/2,AS/2/LABEL,AS/2/ID,AS/2/NOTE,AS/2/ABBR,AS/3,AS/3/LABEL,AS/3/ID,AS/3/NOTE,AS/3/ABBR,AS/4,AS/4/LABEL,AS/4/ID,AS/4/NOTE,AS/4/ABBR,AS/5,AS/5/LABEL,AS/5/ID,AS/5/NOTE,AS/5/ABBR,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTE,CT/1/ABBR,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/1/NOTE,BGene/1/ABBR,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/2/NOTE,BGene/2/ABBR,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/3/NOTE,BGene/3/ABBR,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/1/NOTE,BProtein/1/ABBR,REF/1,REF/1/DOI,REF/1/NOTES
spinal cord,spinal cord,UBERON:0002240,,,thoracic spinal cord,thoracic spinal cord,UBERON:0003038,,,thoracic spinal cord ventral commissure,thoracic spinal cord ventral commissure,UBERON:0007837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,thoracic spinal cord,thoracic spinal cord,UBERON:0003038,,,thoracic spinal cord ventral horn,thoracic spinal cord ventral horn,UBERON:0014610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,thoracic spinal cord,thoracic spinal cord,UBERON:0003038,,,thoracic spinal cord white matter,thoracic spinal cord white matter,UBERON:0014637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,thoracic spinal cord,thoracic spinal cord,UBERON:0003038,,,thoracic division of spinal cord central canal,thoracic division of spinal cord central canal,UBERON:0014541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,sacral spinal cord,sacral spinal cord,UBERON:0005843,,,sacral division of spinal cord central canal,sacral division of spinal cord central canal,UBERON:0014547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,sacral spinal cord,sacral spinal cord,UBERON:0005843,,,sacral spinal cord dorsal column,sacral spinal cord dorsal column,UBERON:0005840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,sacral spinal cord,sacral spinal cord,UBERON:0005843,,,sacral spinal cord dorsal horn,sacral spinal cord dorsal horn,UBERON:0033939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,sacral spinal cord,sacral spinal cord,UBERON:0005843,,,sacral spinal cord gray commissure,sacral spinal cord gray commissure,UBERON:0031111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,sacral spinal cord,sacral spinal cord,UBERON:0005843,,,sacral spinal cord lateral column,sacral spinal cord lateral column,UBERON:0005848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spinal cord,spinal cord,UBERON:0002240,,,sacral spinal cord,sacral spinal cord,UBERON:0005843,,,sacral spinal cord lateral horn,sacral spinal cord lateral horn,UBERON:0029538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
