"Anatomical Structures, Cell Types and Biomarkers Table for Oral Cavity",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Kevin M. Byrd; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5565-0524; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Griffin M Weber,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM479.XPML.677,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,6/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,CT/1,CT/1/LABEL,CT/1/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/NOTES,REF/1,REF/1/ID,REF/1/NOTES
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,ionocyte,,,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,macrophage,macrophage,CL:0000235,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,mast cell,mast cell,CL:0000097,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,myoepithelial cell,,,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,periacinar fibroblast,,,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,pericyte,pericyte,CL:0000669,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,periductal fibroblast,,,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,serous acinar cell,,,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,smooth muscle cell,smooth muscle cell,CL:0000192,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,striated duct epithelial cell,striated cell of salivary gland,CL:4052049,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,,,,tuft cell,,,parotid gland,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,basal ductal cell,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,demilune acinar cell,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,dendritic cell,dendritic cell,CL:0000451,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,endothelial cell,endothelial cell,CL:0000115,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,helper T,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,IgA secreting plasma cell,IgA plasma cell,CL:0000987,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,intercalated duct epithelial cell,intercalated cell of salivary gland,CL:4052048,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,ionocyte,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,macrophage,macrophage,CL:0000235,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,mast cell,mast cell,CL:0000097,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,mucous acinar cell,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,myoepithelial cell,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,periacinar fibroblast,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,pericyte,pericyte,CL:0000669,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,periductal fibroblast,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,seromucosal acinar cell,,,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,,,,smooth muscle cell,smooth muscle cell,CL:0000192,sublingual gland,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,basal ductal cell,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,demilune acinar cell,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,dendritic cell,dendritic cell,CL:0000451,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,endothelial cell,endothelial cell,CL:0000115,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,excretory duct epithelial cell,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,helper T,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,IgA secreting plasma cell,IgA plasma cell,CL:0000987,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,intercalated duct epithelial cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,ionocyte,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,macrophage,macrophage,CL:0000235,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,mast cell,mast cell,CL:0000097,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,mucous acinar cell,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,myoepithelial cell,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,periacinar fibroblast,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,pericyte,pericyte,CL:0000669,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,periductal fibroblast,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,seromucosal acinar cell,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,smooth muscle cell,smooth muscle cell,CL:0000192,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,striated duct epithelial cell,striated cell of salivary gland,CL:4052049,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,,,,tuft cell,,,submandibular gland,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,anterior lingual gland,anterior lingual gland,UBERON:0006330,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,labial gland,labial gland,UBERON:8480065,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,palatine gland,palatine gland,UBERON:0002447,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,Weber's gland,Weber's gland,UBERON:0034934,,,,,,,,,,,,,
