Crosswalk of Popular Vote (popV) annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,Aleix Puig-Barbe,,,,
large intestine,UBERON:0000059,large intestine goblet cell,PV:0000089,large intestine goblet cell,CL:1000320,skos:exactMatch
large intestine,UBERON:0000059,mast cell,PV:0000090,mast cell,CL:0000097,skos:exactMatch
large intestine,UBERON:0000059,monocyte,PV:0000091,monocyte,CL:0000576,skos:exactMatch
large intestine,UBERON:0000059,neutrophil,PV:0000092,neutrophil,CL:0000775,skos:exactMatch
large intestine,UBERON:0000059,paneth cell of colon,PV:0000093,paneth cell of colon,CL:0009009,skos:exactMatch
large intestine,UBERON:0000059,plasma cell,PV:0000094,plasma cell,CL:0000786,skos:exactMatch
large intestine,UBERON:0000059,transit amplifying cell of colon,PV:0000095,transit amplifying cell of colon,CL:0009011,skos:exactMatch
liver,UBERON:0002107,T cell,PV:0000096,T cell,CL:0000084,skos:exactMatch
liver,UBERON:0002107,endothelial cell of hepatic sinusoid,PV:0000097,endothelial cell of hepatic sinusoid,CL:1000398,skos:exactMatch
liver,UBERON:0002107,erythrocyte,PV:0000098,erythrocyte,CL:0000232,skos:exactMatch
liver,UBERON:0002107,fibroblast,PV:0000099,fibroblast,CL:0000057,skos:exactMatch
liver,UBERON:0002107,hepatocyte,PV:0000100,hepatocyte,CL:0000182,skos:exactMatch
liver,UBERON:0002107,intrahepatic cholangiocyte,PV:0000101,intrahepatic cholangiocyte,CL:0002538,skos:exactMatch
liver,UBERON:0002107,liver dendritic cell,PV:0000102,liver dendritic cell,CL:2000055,skos:exactMatch
liver,UBERON:0002107,macrophage,PV:0000103,macrophage,CL:0000235,skos:exactMatch
liver,UBERON:0002107,mature NK T cell,PV:0000104,mature NK T cell,CL:0000814,skos:exactMatch
liver,UBERON:0002107,monocyte,PV:0000105,monocyte,CL:0000576,skos:exactMatch
liver,UBERON:0002107,neutrophil,PV:0000106,neutrophil,CL:0000775,skos:exactMatch
liver,UBERON:0002107,plasma cell,PV:0000107,plasma cell,CL:0000786,skos:exactMatch
lung,UBERON:0002048,B cell,PV:0000108,B cell,CL:0000236,skos:exactMatch
lung,UBERON:0002048,"CD4-positive, alpha-beta T cell",PV:0000109,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
lung,UBERON:0002048,"CD8-positive, alpha-beta T cell",PV:0000110,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
lung,UBERON:0002048,adventitial cell,PV:0000111,alveolar adventitial fibroblast,CL:4028006,skos:exactMatch
lung,UBERON:0002048,basal cell,PV:0000112,basal cell,CL:0000646,skos:exactMatch
lung,UBERON:0002048,basophil,PV:0000113,basophil,CL:0000767,skos:exactMatch
lung,UBERON:0002048,blood vessel endothelial cell,PV:0000114,blood vessel endothelial cell,CL:0000071,skos:exactMatch
lung,UBERON:0002048,bronchial smooth muscle cell,PV:0000115,bronchial smooth muscle cell,CL:0002598,skos:exactMatch
lung,UBERON:0002048,capillary endothelial cell,PV:0000116,capillary endothelial cell,CL:0002144,skos:exactMatch
lung,UBERON:0002048,classical monocyte,PV:0000117,classical monocyte,CL:0000860,skos:exactMatch
lung,UBERON:0002048,club cell,PV:0000118,club cell,CL:0000158,skos:exactMatch
lung,UBERON:0002048,dendritic cell,PV:0000119,dendritic cell,CL:0000451,skos:exactMatch
lung,UBERON:0002048,"effector CD4-positive, alpha-beta T cell",PV:0000120,"effector CD4-positive, alpha-beta T cell",CL:0001044,skos:exactMatch
lung,UBERON:0002048,"effector CD8-positive, alpha-beta T cell",PV:0000121,"effector CD8-positive, alpha-beta T cell",CL:0001050,skos:exactMatch
lung,UBERON:0002048,endothelial cell of artery,PV:0000122,endothelial cell of artery,CL:1000413,skos:exactMatch
lung,UBERON:0002048,endothelial cell of lymphatic vessel,PV:0000123,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
lung,UBERON:0002048,fibroblast,PV:0000124,fibroblast,CL:0000057,skos:exactMatch
lung,UBERON:0002048,intermediate monocyte,PV:0000125,intermediate monocyte,CL:0002393,skos:exactMatch
lung,UBERON:0002048,lung ciliated cell,PV:0000126,lung multiciliated epithelial cell,CL:1000271,skos:exactMatch
lung,UBERON:0002048,lung microvascular endothelial cell,PV:0000127,lung microvascular endothelial cell,CL:2000016,skos:exactMatch
lung,UBERON:0002048,macrophage,PV:0000128,macrophage,CL:0000235,skos:exactMatch
lung,UBERON:0002048,mature NK T cell,PV:0000129,mature NK T cell,CL:0000814,skos:exactMatch
lung,UBERON:0002048,mesothelial cell,PV:0000130,mesothelial cell,CL:0000077,skos:exactMatch
lung,UBERON:0002048,neutrophil,PV:0000131,neutrophil,CL:0000775,skos:exactMatch
lung,UBERON:0002048,non-classical monocyte,PV:0000132,non-classical monocyte,CL:0000875,skos:exactMatch
lung,UBERON:0002048,pericyte,PV:0000133,pericyte,CL:0000669,skos:exactMatch
lung,UBERON:0002048,plasma cell,PV:0000134,plasma cell,CL:0000786,skos:exactMatch
lung,UBERON:0002048,plasmacytoid dendritic cell,PV:0000135,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
lung,UBERON:0002048,pulmonary ionocyte,PV:0000136,pulmonary ionocyte,CL:0017000,skos:exactMatch
lung,UBERON:0002048,respiratory goblet cell,PV:0000137,respiratory tract goblet cell,CL:0002370,skos:exactMatch
lung,UBERON:0002048,serous cell of epithelium of bronchus,PV:0000138,serous cell of epithelium of bronchus,CL:1000331,skos:exactMatch
lung,UBERON:0002048,smooth muscle cell,PV:0000139,smooth muscle cell,CL:0000192,skos:exactMatch
lung,UBERON:0002048,type I pneumocyte,PV:0000140,pulmonary alveolar type 1 cell,CL:0002062,skos:exactMatch
lung,UBERON:0002048,type II pneumocyte,PV:0000141,pulmonary alveolar type 2 cell,CL:0002063,skos:exactMatch
lung,UBERON:0002048,vascular associated smooth muscle cell,PV:0000142,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch
lung,UBERON:0002048,vein endothelial cell,PV:0000143,vein endothelial cell,CL:0002543,skos:exactMatch
lymph node,UBERON:0000029,B cell,PV:0000144,B cell,CL:0000236,skos:exactMatch
