node_name,OntologyID,label
VH_F_knee_L,FMA:24978,Left knee
VH_F_meniscus_L,FMA:64019,Articular disk of knee joint
VH_F_knee_joint_L,FMA:35177,Left knee joint
VH_F_femur_L,FMA:24475,Left femur
VH_F_intercondylar_fossa_L,FMA:43750,Intercondylar fossa of left femur
VH_F_trochlear_groove_L,FMA:43747,Patellar surface of left femur
VH_F_articular_cartilage_of_knee_L,FMA:33190,Articular cartilage of distal epiphysis of left femur
VH_F_medial_condyle_of_left_femur_inf,FMA:32863,Medial condyle of left femur
VH_F_lateral_condyle_of_femur_inf_L,FMA:32861,Lateral condyle of left femur
VH_F_lateral_condyle_of_femur_frontal_L,FMA:32861,Lateral condyle of left femur
VH_F_distal_most_point_of_medial_condyle_L,UBERON:7500033,distal-most point of medial condyle of femur
VH_F_lateral_condyle_of_femur_sup_L,FMA:32861,Lateral condyle of left femur
VH_F_medial_condyle_of_left_femur_sup,FMA:32863,Medial condyle of left femur
VH_F_patella_L,FMA:24487,Left patella
VH_F_tibia_L,FMA:24478,Left tibia
VH_F_fibula_L,FMA:24481,Left fibula
