"Anatomical Structures, Cell Types and Biomarkers Table for Anatomical Systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Ellen M. Quardokus; Griffin Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-7655-4833; 0000-0002-2597-881X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,UBERON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM723.WZWK.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"March 7, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,AS/11,AS/11/LABEL,AS/11/ID,AS/12,AS/12/LABEL,AS/12/ID,AS/13,AS/13/LABEL,AS/13/ID,AS/14,AS/14/LABEL,AS/14/ID,AS/15,AS/15/LABEL,AS/15/ID,AS/16,AS/16/LABEL,AS/16/ID,AS/17,AS/17/LABEL,AS/17/ID,AS/18,AS/18/LABEL,AS/18/ID,AS/19,AS/19/LABEL,AS/19/ID,REF/1,REF/1/ID,REF/1/NOTES,REF/2,REF/2/ID,REF/2/NOTES,REF/3,REF/3/ID,REF/3/NOTES,REF/4,REF/4/ID,REF/4/NOTES,REF/5,REF/5/ID,REF/5/NOTES,REF/6,REF/6/ID,REF/6/NOTES
anatomical system,anatomical system,UBERON:0000467,cardiovascular system,cardiovascular system,UBERON:0004535,heart plus pericardium,heart plus pericardium,UBERON:0015410,heart,heart,UBERON:0000948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,cardiovascular system,cardiovascular system,UBERON:0004535,heart plus pericardium,heart plus pericardium,UBERON:0015410,pericardium,pericardium,UBERON:0002407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,cardiovascular system,cardiovascular system,UBERON:0004535,blood vasculature,blood vasculature,UBERON:0004537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,liver,liver,UBERON:0002107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,esophagus,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,stomach,stomach,UBERON:0000945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,large intestine,large intestine,UBERON:0000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,small intestine,small intestine,UBERON:0002108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,buccal mucosa,buccal mucosa,UBERON:0006956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,mouth,mouth,UBERON:0000165,tongue,tongue,UBERON:0001723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,subdivision of digestive tract,subdivision of digestive tract,UBERON:0004921,mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,digestive system,digestive system,UBERON:0001007,digestive tract,digestive tract,UBERON:0001555,gut-associated lymphoid tissue,gut-associated lymphoid tissue,UBERON:0001962,tonsil,tonsil,UBERON:0002372,palatine tonsil,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,exocrine system,exocrine system,UBERON:0002330,exocrine pancreas,exocrine pancreas,UBERON:0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,hematopoietic system,hematopoietic system,UBERON:0002390,blood,blood,UBERON:0000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,hematopoietic system,hematopoietic system,UBERON:0002390,bone marrow,bone marrow,UBERON:0002371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,hematopoietic system,hematopoietic system,UBERON:0002390,spleen,spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,hematopoietic system,hematopoietic system,UBERON:0002390,thymus,thymus,UBERON:0002370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,lymphoid system,lymphoid system,UBERON:0002465,lymph node,lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
