anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHMSmallIntestine,VH_M_small_intestine,small intestine,UBERON:0002108,http://purl.obolibrary.org/obo/UBERON_0002108
#VHMSmallIntestine,VH_M_ileum,ileum,UBERON:0002116,http://purl.obolibrary.org/obo/UBERON_0002116
#VHMSmallIntestine,VH_M_ileum_terminal,distal part of ileum,FMA:14966,http://purl.org/sig/ont/fma/fma14966
#VHMSmallIntestine,VH_M_jejunum,jejunum,UBERON:0002115,http://purl.obolibrary.org/obo/UBERON_0002115
#VHMSmallIntestine,VH_M_duodenum,duodenum,UBERON:0002114,http://purl.obolibrary.org/obo/UBERON_0002114
#VHMSmallIntestine,VH_M_duodenum_ascending,ascending part of duodenum,FMA:14930,http://purl.org/sig/ont/fma/fma14930
#VHMSmallIntestine,VH_M_duodenum_descending,descending part of duodenum,FMA:14928,http://purl.org/sig/ont/fma/fma14928
#VHMSmallIntestine,VH_M_duodenum_horizonal,horizontal part of duodenum,FMA:14929,http://purl.org/sig/ont/fma/fma14929
#VHMSmallIntestine,VH_M_duodenum_superior,superior part of duodenum,FMA:7206,http://purl.org/sig/ont/fma/fma14926
#VHMSmallIntestine,VH_M_duodenal_ampulla,duodenal ampulla,UBERON:0013644,http://purl.obolibrary.org/obo/UBERON_0013644
#VHMSmallIntestine,VH_M_sphincter_of_hepatopancreatic_ampulla,Sphincter of hepatopancreatic ampulla,FMA:15077,http://purl.org/sig/ont/fma/fma15077
#VHMSmallIntestine,VH_M_papilla_of_santorini,duodenal papilla,UBERON:0004914,http://purl.obolibrary.org/obo/UBERON_0004914
