anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHFSpinalCord,VH_F_spinal_cord,spinal cord,UBERON:0002240,http://purl.obolibrary.org/obo/UBERON_0002240
#VHFSpinalCord,VH_F_C1_segment_of_cervical_spinal_cord,C1 segment of cervical spinal cord,UBERON:0006469,http://purl.obolibrary.org/obo/UBERON_0006469
#VHFSpinalCord,VH_F_C2_segment_of_cervical_spinal_cord,C2 segment of cervical spinal cord,UBERON:0006489,http://purl.obolibrary.org/obo/UBERON_0006489
#VHFSpinalCord,VH_F_C3_segment_of_cervical_spinal_cord,C3 segment of cervical spinal cord,UBERON:0006488,http://purl.obolibrary.org/obo/UBERON_0006488
#VHFSpinalCord,VH_F_C4_segment_of_cervical_spinal_cord,C4 segment of cervical spinal cord,UBERON:0006490,http://purl.obolibrary.org/obo/UBERON_0006490
#VHFSpinalCord,VH_F_C5_segment_of_cervical_spinal_cord,C5 segment of cervical spinal cord,UBERON:0006491,http://purl.obolibrary.org/obo/UBERON_0006491
#VHFSpinalCord,VH_F_C6_segment_of_cervical_spinal_cord,C6 segment of cervical spinal cord,UBERON:0006492,http://purl.obolibrary.org/obo/UBERON_0006492
#VHFSpinalCord,VH_F_C7_segment_of_cervical_spinal_cord,C7 segment of cervical spinal cord,UBERON:0006493,http://purl.obolibrary.org/obo/UBERON_0006493
#VHFSpinalCord,VH_F_C8_segment_of_cervical_spinal_cord,C8 segment of cervical spinal cord,UBERON:0006470,http://purl.obolibrary.org/obo/UBERON_0006470
#VHFSpinalCord,VH_F_first_thoracic_spinal_cord_segment,first thoracic spinal cord segment,UBERON:0006457,http://purl.obolibrary.org/obo/UBERON_0006457
#VHFSpinalCord,VH_F_second_thoracic_spinal_cord_segment,second thoracic spinal cord segment,UBERON:0006458,http://purl.obolibrary.org/obo/UBERON_0006458
#VHFSpinalCord,VH_F_third_thoracic_spinal_cord_segment,third thoracic spinal cord segment,UBERON:0006459,http://purl.obolibrary.org/obo/UBERON_0006459
#VHFSpinalCord,VH_F_fourth_thoracic_spinal_cord_segment,fourth thoracic spinal cord segment,UBERON:0006452,http://purl.obolibrary.org/obo/UBERON_0006452
#VHFSpinalCord,VH_F_fifth_thoracic_spinal_cord_segment,fifth thoracic spinal cord segment,UBERON:0006453,http://purl.obolibrary.org/obo/UBERON_0006453
#VHFSpinalCord,VH_F_seventh_thoracic_spinal_cord_segment,seventh thoracic spinal cord segment,UBERON:0006455,http://purl.obolibrary.org/obo/UBERON_0006455
#VHFSpinalCord,VH_F_eigth_thoracic_spinal_cord_segment,eighth thoracic spinal cord segment,UBERON:0006456,http://purl.obolibrary.org/obo/UBERON_0006456
#VHFSpinalCord,VH_F_sixth_thoracic_spinal_cord_segment,sixth thoracic spinal cord segment,UBERON:0006454,http://purl.obolibrary.org/obo/UBERON_0006454
#VHFSpinalCord,VH_F_ninth_thoracic_spinal_cord_segment,ninth thoracic spinal cord segment,UBERON:0006465,http://purl.obolibrary.org/obo/UBERON_0006465
#VHFSpinalCord,VH_F_tenth_thoracic_spinal_cord_segment,tenth thoracic spinal cord segment,UBERON:0006466,http://purl.obolibrary.org/obo/UBERON_0006466
#VHFSpinalCord,VH_F_eleventh_thoracic_spinal_cord_segment,eleventh thoracic spinal cord segment,UBERON:0006467,http://purl.obolibrary.org/obo/UBERON_0006467
#VHFSpinalCord,VH_F_twelfth_thoracic_spinal_cord_segment,twelfth thoracic spinal cord segment,UBERON:0006468,http://purl.obolibrary.org/obo/UBERON_0006468
#VHFSpinalCord,VH_F_first_lumbar_spinal_cord_segment,first lumbar spinal cord segment,UBERON:0006448,http://purl.obolibrary.org/obo/UBERON_0006448
#VHFSpinalCord,VH_F_second_lumbar_spinal_cord_segment,second lumbar spinal cord segment,UBERON:0006450,http://purl.obolibrary.org/obo/UBERON_0006450
#VHFSpinalCord,VH_F_third_lumbar_spinal_cord_segment,third lumbar spinal cord segment,UBERON:0006449,http://purl.obolibrary.org/obo/UBERON_0006449
#VHFSpinalCord,VH_F_fourth_lumbar_spinal_cord_segment,fourth lumbar spinal cord segment,UBERON:0006451,http://purl.obolibrary.org/obo/UBERON_0006451
#VHFSpinalCord,VH_F_fifth_lumbar_spinal_cord_segment,fifth lumbar spinal cord segment,UBERON:0006447,http://purl.obolibrary.org/obo/UBERON_0006447
#VHFSpinalCord,VH_F_first_sacral_spinal_cord_segment,first sacral spinal cord segment,UBERON:0006460,http://purl.obolibrary.org/obo/UBERON_0006460
#VHFSpinalCord,VH_F_second_sacral_spinal_cord_segment,second sacral spinal cord segment,UBERON:0006461,http://purl.obolibrary.org/obo/UBERON_0006461
#VHFSpinalCord,VH_F_third_sacral_spinal_cord_segment,third sacral spinal cord segment,UBERON:0006462,http://purl.obolibrary.org/obo/UBERON_0006462
#VHFSpinalCord,VH_F_fourth_sacral_spinal_cord_segment,fourth sacral spinal cord segment,UBERON:0006463,http://purl.obolibrary.org/obo/UBERON_0006463
