node_name,OntologyID,label
VH_F_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C1_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C2_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C3_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C4_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C5_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C6_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C7_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_C8_segment_of_cervical_spinal_cord,UBERON:0013754,integumentary system layer
VH_F_first_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_second_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_third_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_fourth_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_fifth_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_seventh_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_eigth_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_sixth_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_ninth_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_tenth_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_eleventh_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_twelfth_thoracic_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_first_lumbar_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_second_lumbar_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_third_lumbar_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_fourth_lumbar_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_fifth_lumbar_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_first_sacral_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_second_sacral_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_third_sacral_spinal_cord_segment,UBERON:0013754,integumentary system layer
VH_F_fourth_sacral_spinal_cord_segment,UBERON:0013754,integumentary system layer
