Peripheral Nervous System Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Ilias Ziogas; Fahim Imam,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-9210-2455; 0000-0003-4752-543X,,,,,,,,,,,
Reviewer(s):,Griffin Weber,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM446.ZZZN.837,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
Nerve,NerveID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
nerve to brachioradialis,FMA:65334,innervates,brachioradialis muscle,UBERON:0011011,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,brachioradialis muscle,UBERON:0011011,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to coracobrachialis,FMA:62467,innervates,coracobrachialis muscle,UBERON:0001505,999,muscular system,UBERON:0000383,,,,,
musculocutaneous nerve,UBERON:0003724,innervates,coracobrachialis muscle,UBERON:0001505,999,muscular system,UBERON:0000383,,,,,
anterior branch of axillary nerve,FMA:81285,innervates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
axillary nerve,UBERON:0001493,innervates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
deltoid branch of anterior branch of axillary nerve,FMA:81322,innervates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
deltoid branch of posterior branch of axillary nerve,FMA:65300,innervates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
posterior branch of axillary nerve,FMA:81286,innervates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
nerve to first dorsal interosseous of hand,FMA:80231,innervates,dorsal interosseous of manus,UBERON:0001503,999,muscular system,UBERON:0000383,,,,,
nerve to fourth dorsal interosseous of hand,FMA:80240,innervates,dorsal interosseous of manus,UBERON:0001503,999,muscular system,UBERON:0000383,,,,,
nerve to second dorsal interosseous of hand,FMA:80234,innervates,dorsal interosseous of manus,UBERON:0001503,999,muscular system,UBERON:0000383,,,,,
nerve to third dorsal interosseous of hand,FMA:80237,innervates,dorsal interosseous of manus,UBERON:0001503,999,muscular system,UBERON:0000383,,,,,
ulnar nerve,UBERON:0001494,innervates,dorsal interosseous of manus,UBERON:0001503,999,muscular system,UBERON:0000383,,,,,
nerve to extensor carpi radialis brevis,FMA:81191,innervates,extensor carpi radialis brevis muscle,UBERON:0001525,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor carpi radialis brevis muscle,UBERON:0001525,999,muscular system,UBERON:0000383,,,,,
nerve to extensor carpi radialis longus,FMA:81205,innervates,extensor carpi radialis longus muscle,UBERON:0001524,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor carpi radialis longus muscle,UBERON:0001524,999,muscular system,UBERON:0000383,,,,,
branch of posterior interosseous nerve,FMA:80285,innervates,extensor carpi ulnaris muscle,UBERON:0001526,999,muscular system,UBERON:0000383,,,,,
nerve to extensor carpi ulnaris,FMA:81182,innervates,extensor carpi ulnaris muscle,UBERON:0001526,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor carpi ulnaris muscle,UBERON:0001526,999,muscular system,UBERON:0000383,,,,,
