node_id,node_group,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Macrophage_1,Macrophage,macrophage,CL:0000235,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Mast_Cell,Mast_Cell,mast cell,CL:0000097,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Endothelial_Cell_1,Endothelial_Cell,endothelial cell,CL:0000115,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Endothelial_Cell_2,Endothelial_Cell,endothelial cell,CL:0000115,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Endothelial_Cell_3,Endothelial_Cell,endothelial cell,CL:0000115,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_1,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_2,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_3,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_4,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_5,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_6,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_7,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_8,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_9,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_10,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_11,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_12,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_13,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_14,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_15,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_16,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_17,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_18,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_19,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_20,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_21,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_22,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_23,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_24,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_25,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
Intercalated_Duct_Epithelial_Cell_26,Intercalated_Duct_Epithelial_Cell,intercalated cell of salivary gland,CL:4052048,submandibular gland,UBERON:0001736,Mouth,UBERON:0000165
