"Anatomical Structures, Cell Types and Biomarkers Table for Oral Cavity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Kevin M. Byrd; Ellen M. Quardokus; Angelo Rosso Llantada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5565-0524; 0000-0001-7655-4833; 0000-0003-3541-867X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Griffin M Weber; Jie Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X; 0000-0002-2999-0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Easter QT, et al. Single-cell and spatially resolved interactomics of tooth-associated keratinocytes in periodontitis. Nat Commun. 2024 Jun 14;15(1):5016. doi: 10.1038/s41467-024-49037-y. PMID: 38876998; PMCID: PMC11178863.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,CT/1,CT/1/LABEL,CT/1/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/NOTES,REF/1,REF/1/ID,REF/1/NOTES
mouth,mouth,UBERON:0000165,tongue,tongue,UBERON:0001723,,,,,,,,,,,,,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,gingival epithelial cell,gingival epithelial cell,CL:0002621,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,fibroblast,fibroblast,CL:0000057,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,T cell,T cell,CL:0000084,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,mast cell,mast cell,CL:0000097,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,endothelial cell,endothelial cell,CL:0000115,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,melanocyte,melanocyte,CL:0000148,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,macrophage,macrophage,CL:0000235,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,B cell (non-plasma),B cell,CL:0000236,gingival attachment,dentogingival junction,UBERON:8000014,,,,
mouth,mouth,UBERON:0000165,mouth mucosa,mouth mucosa,UBERON:0003729,gingiva,gingiva,UBERON:0001828,gingival attachment,dentogingival junction,UBERON:8000014,,,,,,,,,,Merkel cell,Merkel cell,CL:0000242,gingival attachment,dentogingival junction,UBERON:8000014,,,,
