OMAP-N: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Lung with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title:,OMAP to detect senescent cells in lung tissue by CODEX using the Phenocycler Fusion System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jeffrey M. Purkerson; Gloria S. Pryhuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCiD(s):,0000-0001-7636-4992; 0000-0002-9185-3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Liz McDonough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCiD(s):,0000-0001-7524-8260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM652.FCHM.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,senescence_specific,cell_marker,segmentation_marker,target_species,recommended
OMAP-38,P02533,HGNC:6416,KRT14,Rabbit,IgG,Polyclonal,,Akoya Biosciences,4450031,230818011,N,,200,Oligonucleotide,AB_3095339,CODEX,FFPE,12,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Keratin, type I cytoskeletal 14, KRT5-KRT14 filaments self-organize into large bundles with enhances the mechanical properties",lung,UBERON:0002048,N,myoepithelial cell of bronchus submucosal gland,,,Y
OMAP-38,P13647,HGNC:6442,KRT5,Rabbit,IgG,Monoclonal,EP1601Y,Akoya Biosciences,4450090,B389468,N,,200,Oligonucleotide,AB_3083458,CODEX,FFPE,13,AF750,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,Y,"Keratin, type II cytoskeletal 5, Basal cells airway epithelium",lung,UBERON:0002048,N,basal cell of epithelium of respiratory bronchiole,,,Y
OMAP-38,P46013,HGNC:7107,MKI67,Mouse,IgG1,Monoclonal,B56,Akoya Biosciences,4250019,220718025,Y,,200,Oligonucleotide,AB_2895046,CODEX,FFPE,5,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Proliferation marker protein, not present in senescent cells",lung,UBERON:0002048,N,"proliferating, should be confirmed by coloalization with other markers of proliferation (e.g. PCNA)",,,Y
OMAP-38,P05164,HGNC:7218,MPO,Rabbit,IgG,Monoclonal,E1E7I,Akoya Biosciences,4250083,230518016,Y,,200,Oligonucleotide,AB_2927678,CODEX,FFPE,11,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Myeloperoxidase, neutrophil, lesser in monocytes/macrophages",lung,UBERON:0002048,N,neutrophil,,,Y
OMAP-38,"P04264, P35908, P12035, P19013, P13647, P025OMAP-38, P04259, P48668, P08729, P05787, P13645, P02533, P19012, P08779, P08727","HGNC:6412, HGNC:6439, HGNC:6440, HGNC:6441, HGNC:6442, HGNC:6443, HGNC:6444, HGNC:20406, HGNC:6445, HGNC:6446, HGNC:6413, HGNC:6416, HGNC:6421, HGNC:6423, HGNC:6436","KRT1, KRT2, KRT3, KRT4, KRT5, KRT6A, KRT6B, KRT7, KRT8, KRT10, KRT14, KRT15, KRT16, KRT19",Mouse,IgG1,Monoclonal,AE-1/3,Akoya Biosciences,4450020,B349937,N,,200,Oligonucleotide,AB_3083456,CODEX,FFPE,14,AF750,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,Y,Majority if not all lung epithelium,lung,UBERON:0002048,N,Epithelial cell of lung,,,Y
OMAP-38,Q86YL7,HGNC:29602,PDPN,Mouse,IgG2a,Monoclonal,NC-08,Akoya Biosciences,4250094,230613015,N,,200,Oligonucleotide,AB_3082979,CODEX,FFPE,7,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Podoplanin; Mediates effects on cell migration and adhesion through its different partners; lymphatic endothelium; alveolar epithelium, type 1; mesothelium",lung,UBERON:0002048,N,"endothelial cell of respiratory system lymphatic vessel; Type 1 pneumocyte (AT1), mesothelium",,,Y
OMAP-38,O95171,HGNC:10573,SCEL,Rabbit,IgG,Polyclonal,,Abcepta,AP11564C,SA170807DF,N,,100,Oligonucleotide,AB_10818433,CODEX,FFPE,9,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,Sciellin;type I epithelial alveolar,lung,UBERON:0002048,N,Type 1 pneumocyte (AT1),,,Y
OMAP-38,P11686,HGNC:10802,SFTPC,Rabbit,IgG,Polyclonal,,Invitrogen,PA5-71842,YE3913574A,N,0.4,,Oligonucleotide,AB_2717696,CODEX,FFPE,9,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,Y,"Pulmonary surfactant-associated protein C, type II epithelial alveolar",lung,UBERON:0002048,N,Type II pneumocyte (AT2),,,Y
OMAP-38,P62736,HGNC:130,ACTA2,Mouse,IgG2a,Monoclonal,1A4,Akoya Biosciences,4450049,230309013,Y,,200,Oligonucleotide,AB_2936084,CODEX,FFPE,12,AF750,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,Y,"Actin alpha 2, smooth muscle; contractile fibroblasts/ myofibroblasts",lung,UBERON:0002048,N,blood vessel and airway smooth muscle cells,,,Y
OMAP-38,Q9H3D4,HGNC:15979,TP63,Rabbit,IgG,Monoclonal,EPR5701,Abcam,ab214790,1041591-2,Y,0.4,,Oligonucleotide,AB_3083495,CODEX,FFPE,12,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Tumor protein 63,  Basal cells Airway Epithileum",lung,UBERON:0002048,N,basal cell of epithelium of bronchi and bronchioles,,,Y
