anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHMLiver,VH_M_liver,liver,UBERON:0002107,http://purl.obolibrary.org/obo/UBERON_0002107
#VHMLiver,VH_M_bare_area_of_liver,bare area of liver,UBERON:0001149,http://purl.obolibrary.org/obo/UBERON_0001149
#VHMLiver,VH_M_liver_capsule,capsule of the liver,UBERON:0016479,http://purl.obolibrary.org/obo/UBERON_0016479
#VHMLiver,VH_M_diaphragmatic_surface,diaphragmatic surface of liver,FMA:15729,http://purl.org/sig/ont/fma/fma15729
#VHMLiver,VH_M_suprarenal_impression_of_liver,Suprarenal impression of liver,FMA:14489,http://purl.org/sig/ont/fma/fma14489
#VHMLiver,VH_M_renal_impression_of_liver,renal impression of liver,FMA:14488,http://purl.org/sig/ont/fma/fma14488
#VHMLiver,VH_M_gastric_impression_of_liver,gastric impression of liver,FMA:14487,http://purl.org/sig/ont/fma/fma14487
#VHMLiver,VH_M_colic_impression_of_liver,colic impression of liver,FMA:14484,http://purl.org/sig/ont/fma/fma14484
#VHMLiver,VH_M_esophageal_impression_of_liver,esophageal impression of liver,FMA:14486,http://purl.org/sig/ont/fma/fma14486
#VHMLiver,VH_M_duodenal_impression_of_liver,duodenal impression of liver,FMA:14485,http://purl.org/sig/ont/fma/fma14485
#VHMLiver,VH_M_porta_hepatis,porta hepatis,FMA:15758,http://purl.org/sig/ont/fma/fma15758
#VHMLiver,VH_M_caudate_lobe_of_liver,caudate lobe of liver,UBERON:0001117,http://purl.obolibrary.org/obo/UBERON_0001117
#VHMLiver,VH_M_right_lobe_of_liver,right lobe of liver,UBERON:0001114,http://purl.obolibrary.org/obo/UBERON_0001114
#VHMLiver,VH_M_left_lobe_of_liver,left lobe of liver,UBERON:0001115,http://purl.obolibrary.org/obo/UBERON_0001115
#VHMLiver,VH_M_left_lateral_lobe,liver left lateral lobe,UBERON:0006727,http://purl.obolibrary.org/obo/UBERON_0006727
#VHMLiver,VH_M_left_medial_lobe,liver left medial lobe,UBERON:0006728,http://purl.obolibrary.org/obo/UBERON_0006728
#VHMLiver,VH_M_quadrate_lobe_of_liver,quadrate lobe of liver,UBERON:0001116,http://purl.obolibrary.org/obo/UBERON_0001116
#VHMLiver,VH_M_hepataduodenal_ligament,hepatoduodenal ligament,UBERON:0012472,http://purl.obolibrary.org/obo/UBERON_0012472
#VHMLiver,VH_M_ligamentum_venosum,ligamentum venosum,UBERON:0006587,http://purl.obolibrary.org/obo/UBERON_0006587
#VHMLiver,VH_M_round_ligament_of_liver,round ligament of liver,UBERON:0006588,http://purl.obolibrary.org/obo/UBERON_0006588
#VHMLiver,VH_M_triangular_ligament_of_liver,triangular ligament of liver,UBERON:0035444,http://purl.obolibrary.org/obo/UBERON_0035444
#VHMLiver,VH_M_falciform_ligament,falciform ligament,UBERON:0001247,http://purl.obolibrary.org/obo/UBERON_0001247
#VHMLiver,VH_M_coronary_ligament_of_liver,coronary ligament of liver,UBERON:0013138,http://purl.obolibrary.org/obo/UBERON_0013138
