node_id,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_1,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_2,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_3,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_4,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_5,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_6,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_7,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_8,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_9,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
Fibroblast_Of_Subepithelial_Connective_Tissue_Of_Prostatic_Gland_10,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,prostate glandular acinus,UBERON:0004179,Prostate Gland,UBERON:0002367
