Musculoskeletal Crosswalk,,,,,,,,,,,,,
,,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Griffin Weber,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-2597-881X,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM693.NGDL.755,,,,,,,,,,,,
Date:,"March 7, 2025",,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,
Structure1Name,Structure1ID,Structure1Type,Relationship,Relationship2,Structure2Name,Structure2ID,Structure2Type,JointName,JointLabel,JointID,JoiningStructureName,JoiningStructureLabel,JoiningStructureID
extensor pollicis longus muscle,UBERON:0003234,muscle,attached_to,has_muscle_origin,interosseous membrane between ulna and radius,,fascia,,,,,,
extensor pollicis longus muscle,UBERON:0003234,muscle,attached_to,has_muscle_origin,shaft of ulna,,bone,,,,,,
first dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,base of second proximal phalanx of hand,FMA:37499,bone,,,,,,
first dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,extensor expansion of 2nd digit,,fascia,,,,,,
first dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of first metacarpal bone,FMA:42869,bone,,,,,,
first dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of second metacarpal bone,FMA:42872,bone,,,,,,
first lumbrical,,muscle,attached_to,has_muscle_origin,1st tendon of flexor digitorum profundus,,tendon,,,,,,
first lumbrical,,muscle,attached_to,has_muscle_insertion,extensor expansion of 2nd digit,,fascia,,,,,,
first palmar interosseous muscle,,muscle,attached_to,has_muscle_insertion,base of second proximal phalanx of hand,FMA:37499,bone,,,,,,
first palmar interosseous muscle,,muscle,attached_to,has_muscle_insertion,extensor expansion of 2nd digit,,fascia,,,,,,
first palmar interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of second metacarpal bone,FMA:42872,bone,,,,,,
flexor carpi radialis muscle,UBERON:0001521,muscle,attached_to,has_muscle_insertion,base of second metacarpal bone,FMA:42791,bone,,,,,,
flexor carpi radialis muscle,UBERON:0001521,muscle,attached_to,has_muscle_origin,medial epicondyle of humerus,FMA:23441,bone,,,,,,
flexor carpi ulnaris muscle,UBERON:0001522,muscle,attached_to,has_muscle_insertion,base of fifth metacarpal bone,FMA:42800,bone,,,,,,
flexor carpi ulnaris muscle,UBERON:0001522,muscle,attached_to,has_muscle_insertion,hook of hamate,FMA:39978,bone,,,,,,
flexor carpi ulnaris muscle,UBERON:0001522,muscle,attached_to,has_muscle_insertion,pisiform,UBERON:0001429,bone,,,,,,
flexor digiti minimi brevis of hand muscle,UBERON:0036174,muscle,attached_to,has_muscle_insertion,base of fifth proximal phalanx of hand,FMA:37535,bone,,,,,,
flexor digiti minimi brevis of hand muscle,UBERON:0036174,muscle,attached_to,has_muscle_origin,flexor retinaculum,,fascia,,,,,,
flexor digiti minimi brevis of hand muscle,UBERON:0036174,muscle,attached_to,has_muscle_origin,hook of hamate,FMA:39978,bone,,,,,,
flexor digitorum profundus muscle,UBERON:0001523,muscle,attached_to,has_muscle_insertion,base of fifth distal phalanx of hand,FMA:37541,bone,,,,,,
flexor digitorum profundus muscle,UBERON:0001523,muscle,attached_to,has_muscle_insertion,base of fourth distal phalanx of hand,FMA:37529,bone,,,,,,
flexor digitorum profundus muscle,UBERON:0001523,muscle,attached_to,has_muscle_insertion,base of second distal phalanx of hand,FMA:37505,bone,,,,,,
flexor digitorum profundus muscle,UBERON:0001523,muscle,attached_to,has_muscle_insertion,base of third distal phalanx of hand,FMA:37517,bone,,,,,,
flexor digitorum profundus muscle,UBERON:0001523,muscle,attached_to,has_muscle_origin,interosseous membrane between ulna and radius,,fascia,,,,,,
flexor digitorum profundus muscle,UBERON:0001523,muscle,attached_to,has_muscle_origin,shaft of ulna,,bone,,,,,,
flexor digitorum superficialis muscle,UBERON:0003222,muscle,attached_to,has_muscle_insertion,shaft of fifth middle phalanx of hand,FMA:37596,bone,,,,,,
flexor digitorum superficialis muscle,UBERON:0003222,muscle,attached_to,has_muscle_insertion,shaft of fourth middle phalanx of hand,FMA:37584,bone,,,,,,
