anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHFPelvis,VH_F_pelvis,bony pelvis,UBERON:0001270,http://purl.obolibrary.org/obo/UBERON_0001270
#VHFPelvis,VH_F_sacrum,fused sacrum,UBERON:0003690,http://purl.obolibrary.org/obo/UBERON_0003690
#VHFPelvis,VH_F_coccyx,coccyx,UBERON:0001350,http://purl.obolibrary.org/obo/UBERON_0001350
#VHFPelvis,VH_F_pubis,pubis,UBERON:0001275,http://purl.obolibrary.org/obo/UBERON_0001275
#VHFPelvis,VH_F_pubis_spongy_bone,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_pubis_spongy_bone_L,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_pubis_spongy_bone_R,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_pubis_compact_bone,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_pubis_compact_bone_R,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_pubis_compact_bone_L,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_ilium,ilium,UBERON:0001273,http://purl.obolibrary.org/obo/UBERON_0001273
#VHFPelvis,VH_F_ilium_compact_bone,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_ilium_compact_bone_R,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_ilium_compact_bone_L,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_ilium_spongy_bone,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_ilium_spongy_bone_L,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_ilium_spongy_bone_R,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_ischium,ischium,UBERON:0001274,http://purl.obolibrary.org/obo/UBERON_0001274
#VHFPelvis,VH_F_ischium_compact_bone,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_ischium_compact_bone_R,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_ischium_compact_bone_L,compact bone tissue,UBERON:0001439,http://purl.obolibrary.org/obo/UBERON_0001439
#VHFPelvis,VH_F_ischium_spongy_bone,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_ischium_spongy_bone_R,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
#VHFPelvis,VH_F_ischium_spongy_bone_L,trabecular bone tissue,UBERON:0002483,http://purl.obolibrary.org/obo/UBERON_0002483
