extraction_set_for,extraction_set_id,extraction_set_label,node_name,label
-,-,Landmarks,VH_F_small_intestine_landmarks,small intestine landmarks
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_landmark_biliary_tree,biliary tree
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_landmark_cm_markers,cm line markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_landmark_jejunoileal_junction,jejunoileal junction
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_landmark_measurement_discs,five cm disc markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_185_cm,185 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_180_cm,180 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_175_cm,175 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_170_cm,170 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_165_cm,165 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_160_cm,160 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_155_cm,155 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_150_cm,150 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_145_cm,145 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_140_cm,140 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_135_cm,135 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_130_cm,130 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_125_cm,125 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_120_cm,120 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_115_cm,115 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_110_cm,110 cm markers
https://purl.humanatlas.io/ref-organ/small-intestine-female,#VHFSmallInstestineLandmarks,Landmarks,VH_F_small_intestine_disc_at_105_cm,105 cm markers
