node_id,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Double_Positive_Alpha_Beta_Thymocyte_66,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_67,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_68,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_69,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_70,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_71,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_72,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_73,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_74,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_75,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_76,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_77,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_78,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_79,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_80,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_81,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_82,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_83,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_84,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_85,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_86,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_87,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_88,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_89,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_90,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_91,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_92,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_93,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_94,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_95,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_96,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
