"Anatomical Structures, Cell Types and Biomarkers Table for Oral Cavity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Kevin M. Byrd; Ellen M. Quardokus; Angelo Rosso Llantada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5565-0524; 0000-0001-7655-4833; 0000-0003-3541-867X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Griffin M Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,Will be added after table is finalized and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,CT/1,CT/1/LABEL,CT/1/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/NOTES,REF/1,REF/1/ID,REF/1/NOTES
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,ionocyte,,,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,macrophage,macrophage,CL:0000235,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,mast cell,mast cell,CL:0000097,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,myoepithelial cell,,,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,periacinar fibroblast,,,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,pericyte,pericyte,CL:0000669,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,periductal fibroblast,,,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,serous acinar cell,,,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,smooth muscle cell,smooth muscle cell,CL:0000192,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,,,,tuft cell,,,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,excretory duct ,parotid gland excretory duct,UBERON:0035048,excretory duct epithelial cell,,,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,intercalated duct,parotid gland intercalated duct,UBERON:0035046,intercalated duct epithelial cell,intercalated cell of salivary gland,CL:4052048,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,parotid gland,parotid gland,UBERON:0001831,parotid gland ducto-acinar,,,striated duct,parotid gland striated duct,UBERON:0035047,striated duct epithelial cell,striated cell of salivary gland,CL:4052049,parotid gland ducto-acinar,parotid gland,UBERON:0001831,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,demilune acinar cell,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,dendritic cell,dendritic cell,CL:0000451,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,endothelial cell,endothelial cell,CL:0000115,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,helper T,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,IgA secreting plasma cell,IgA plasma cell,CL:0000987,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,ionocyte,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,macrophage,macrophage,CL:0000235,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,mast cell,mast cell,CL:0000097,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,mucous acinar cell,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,myoepithelial cell,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,periacinar fibroblast,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,pericyte,pericyte,CL:0000669,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,periductal fibroblast,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,seromucosal acinar cell,,,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,,,,smooth muscle cell,smooth muscle cell,CL:0000192,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,sublingual gland,sublingual gland,UBERON:0001832,sublingual gland ducto-acinar,,,intercalated duct,sublingual duct,UBERON:0001838,intercalated duct epithelial cell,intercalated cell of salivary gland,CL:4052048,sublingual gland ducto-acinar,sublingual gland,UBERON:0001832,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,,,,,,basal ductal cell,,,submandibular gland ducto-acinar,submandibular gland,UBERON:0001736,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,,,,,,demilune acinar cell,,,submandibular gland ducto-acinar,submandibular gland,UBERON:0001736,,,,
