node_name,OntologyID,label
VHF_heart,UBERON:0000948,heart
VHF_cardiac_chamber,,
VHF_interventricular_septum,UBERON:0002094,interventricular septum
VHF_left_cardiac_atrium,UBERON:0002079,left cardiac atrium
VHF_left_ventricle,UBERON:0002084,heart left ventricle
VHF_right_cardiac_atrium,UBERON:0002078,right cardiac atrium
VHF_right_ventricle,UBERON:0002080,heart right ventricle
VHF_papillary_muscle_of_heart,UBERON:0002494,papillary muscle of heart
VHF_papillary_muscle_of_heart_ant,fma:fma7264,Anterior papillary muscle of left ventricle
VHF_papillary_muscle_of_heart_antlat,fma:fma7265,Anterolateral head of lateral papillary muscle of left ventricle
VHF_papillary_muscle_of_heart_med,fma:fma7262,Septal papillary muscle of right ventricle
VHF_papillary_muscle_of_heart_pos,fma:fma7261,Posterior papillary muscle of right ventricle
VHF_papillary_muscle_of_heart_posmed,fma:fma7267,Posteromedial head of posterior papillary muscle of left ventricle
VHF_valve,UBERON:0003978,valve
VHF_aortic_valve,UBERON:0002137,aortic valve
VHF_pulmonary_valve,UBERON:0002146,pulmonary valve
VHF_mitral_valve,UBERON:0002135,mitral valve
VHF_tricuspid_valve,UBERON:0002134,tricuspid valve
