node_name,OntologyID,label
Allen_temporal_agranular_insular_cortex_area_Tl_R,,
Allen_head_of_caudate_R,,
Allen_body_of_caudate_R,,
Allen_tail_of_caudate_R,,
Allen_putamen_R,,
Allen_nucleus_accumbens_R,,
Allen_external_segment_of_globus_pallidus_R,,
Allen_internal_segment_of_globus_pallidus_R,,
Allen_claustrum_R,,
Allen_basal_forebrain_R,,
Allen_septal_nuclei_R,,
Allen_amygdaloid_complex_R,,
Allen_anterior_amygdaloid_area_R,,
Allen_central_nuclear_group_R,,
Allen_lateral_nucleus_R,,
Allen_basolateral_nucleus_basal_nucleus_R,,
Allen_basomedial_nucleus_accessory_basal_nucleus_R,,
Allen_anterior_cortical_nucleus_R,,
Allen_posterior_cortical_nucleus_R,,
Allen_medial_nucleus_R,,
Allen_amygdalohippocampal_area_R,,
Allen_bed_nucleus_of_stria_terminalis_R,,
Allen_thalamus_R,,
Allen_anterior_nuclear_complex_of_thalamus_R,,
Allen_lateral_dorsal_nucleus_of_thalamus_R,,
Allen_mediodorsal_nucleus_of_thalamus_R,,
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_R,,
Allen_lateral_posterior_nucleus_of_thalamus_R,,
Allen_pulvinar_of_thalamus_R,,
Allen_ventral_anterior_nucleus_of_thalamus_R,,
Allen_ventral_lateral_nucleus_of_thalamus_R,,
Allen_ventral_posterior_lateral_nucleus_R,,
Allen_ventral_posterior_medial_nucleus_R,,
Allen_dorsal_lateral_geniculate_nucleus_R,,
Allen_medial_geniculate_nuclei_R,,
Allen_centromedian_nucleus_of_thalamus_R,,
Allen_parafascicular_nucleus_of_thalamus_R,,
Allen_habenular_nuclei_R,,
Allen_pineal_body_R,,
Allen_zona_incerta_R,,
Allen_subthalamic_nucleus_R,,
Allen_hypothalamus_R,UBERON:0001898,hypothalamus
Allen_preoptic_region_of_HTH_R,,
Allen_supraoptic_region_of_HTH_R,,
Allen_tuberal_region_of_HTH_R,,
Allen_mammillary_region_of_HTH_R,,
Allen_white_matter_of_forebrain_R,,
Allen_anterior_commissure_R,,
Allen_corpus_callosum_R,,
Allen_fornix_R,,
Allen_mammillothalamic_tract_R,,
Allen_optic_tract_R,,
Allen_anterior_horn_of_lateral_ventricle_R,,
Allen_body_of_lateral_ventricle_R,,
Allen_posterior_horn_of_lateral_ventricle_R,,
Allen_inferior_horn_of_lateral_ventricle_R,,
Allen_third_ventricle_R,,
Allen_cerebellar_vermis_R,,
Allen_cerebellar_deep_nuclei_R,,
Allen_white_matter_of_hindbrain_R,,
Allen_olfactory_tract_R,,
Allen_precentral_gyrus_R,,
Allen_superior_frontal_gyrus_R,,
Allen_middle_frontal_gyrus_R,,
Allen_inferior_frontal_gyrus_triangular_part_R,,
Allen_inferior_frontal_gyrus_opercular_part_R,,
