anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHMLungV1.1,VH_M_respiratory_system,respiratory system,UBERON:0001004,http://purl.obolibrary.org/obo/UBERON_0001004
#VHMLungV1.1,VH_M_lungs,lung,UBERON:0002048,http://purl.obolibrary.org/obo/UBERON_0002048
#VHMLungV1.1,VH_M_lungs_L,left lung,UBERON:0002168,http://purl.obolibrary.org/obo/UBERON_0002168
#VHMLungV1.1,VH_M_hilum_L,left lung hilus,UBERON:0004887,http://purl.obolibrary.org/obo/UBERON_0004887
#VHMLungV1.1,VH_M_lungs_L_upper_lobe,Upper Lobe of Left Lung,UBERON:0008952,http://purl.obolibrary.org/obo/UBERON_0008952
#VHMLungV1.1,VH_M_hilum_upper_L,left lung hilus,UBERON:0004887,http://purl.obolibrary.org/obo/UBERON_0004887
#VHMLungV1.1,VH_M_left_lingula_superior_bronchopulmonary_segment,Superior lingular bronchopulmonary segment,FMA:7374,http://purl.org/sig/ont/fma/fma7374
#VHMLungV1.1,VH_M_left_posterior_bronchopulmonary_segment,Left posterior bronchopulmonary segment,FMA:7386,http://purl.org/sig/ont/fma/fma7386
#VHMLungV1.1,VH_M_left_anterior_bronchopulmonary_segment,Left Anterior Bronchopulmonary Segment,FMA:7373,http://purl.org/sig/ont/fma/fma7373
#VHMLungV1.1,VH_M_left_apical_bronchopulmonary_segment,Left apical bronchopulmonary segment,FMA:7385,http://purl.org/sig/ont/fma/fma7385
#VHMLungV1.1,VH_M_left_lingula_inferior_bronchopulmonary_segment,Inferior lingular bronchopulmonary segment,FMA:7375,http://purl.org/sig/ont/fma/fma7375
#VHMLungV1.1,VH_M_lungs_L_lower_lobe,Lower Lobe of Left Lung,UBERON:0008953,http://purl.obolibrary.org/obo/UBERON_0008953
#VHMLungV1.1,VH_M_hilum_lower_L,left lung hilus,UBERON:0004887,http://purl.obolibrary.org/obo/UBERON_0004887
#VHMLungV1.1,VH_M_left_anterior_basal_bronchopulmonary_segment,left anterior basal bronchopulmonary segment,FMA:7378,http://purl.org/sig/ont/fma/fma7378
#VHMLungV1.1,VH_M_left_lateral_basal_bronchopulmonary_segment,left Lateral Basal Bronchopulmonary Segment,FMA:7379,http://purl.org/sig/ont/fma/fma7379
#VHMLungV1.1,VH_M_left_medial_basal_bronchopulmonary_segment,Left Medial Basal Bronchopulmonary Segment,FMA:7377,http://purl.org/sig/ont/fma/fma7377
#VHMLungV1.1,VH_M_left_posetrior_basal_bronchopulmonary_segment,Left posterior basal segmental bronchus,FMA:7508,http://purl.org/sig/ont/fma/fma7508
#VHMLungV1.1,VH_M_left_superior_bronchopulmonary_segment,Left superior bronchopulmonary segment,FMA:7376,http://purl.org/sig/ont/fma/fma7376
#VHMLungV1.1,VH_M_lungs_R,right lung,UBERON:0002167,http://purl.obolibrary.org/obo/UBERON_0002167
#VHMLungV1.1,VH_M_hilum_R,right lung hilus,UBERON:0004888,http://purl.obolibrary.org/obo/UBERON_0004888
#VHMLungV1.1,VH_M_lungs_R_middle_lobe,Middle Lobe of Right Lung,UBERON:0002174,http://purl.obolibrary.org/obo/UBERON_0002174
