extraction_set_for,extraction_set_id,extraction_set_label,node_name,label
-,-,Landmarks,VH_F_liver_landmarks,liver landmarks
https://purl.humanatlas.io/ref-organ/liver-female#primary,#VHFLiverLandmarks,Landmarks,VH_F_liver_landmark_gallbladder,gallbladder
https://purl.humanatlas.io/ref-organ/liver-female#primary,#VHFLiverLandmarks,Landmarks,VH_F_liver_landmark_cystic_artery,cystic artery
https://purl.humanatlas.io/ref-organ/liver-female#primary,#VHFLiverLandmarks,Landmarks,VH_F_liver_landmark_cystic_vein,cystic vein
https://purl.humanatlas.io/ref-organ/liver-female#primary,#VHFLiverLandmarks,Landmarks,VH_F_liver_landmark_biliary_tree,biliary tree
https://purl.humanatlas.io/ref-organ/liver-female#primary,#VHFLiverLandmarks,Landmarks,VH_F_liver_landmark_veins_of_liver,veins of liver
https://purl.humanatlas.io/ref-organ/liver-female#primary,#VHFLiverLandmarks,Landmarks,VH_F_liver_landmark_arteries_of_liver,arteries of liver
