anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHFPancreasDucts,VH_F_hepatopancreatic_ampulla,hepatopancreatic ampulla,UBERON:0004913,http://purl.obolibrary.org/obo/UBERON_0004913
#VHFPancreasDucts,VH_F_dorsal_pancreatic_duct,dorsal pancreatic duct,UBERON:0005429,http://purl.obolibrary.org/obo/UBERON_0005429
#VHFPancreasDucts,VH_F_common_bile_duct,common bile duct,UBERON:0001174,http://purl.obolibrary.org/obo/UBERON_0001174
#VHFPancreasDucts,VH_F_ventral_pancreatic_duct,Ventral pancreatic duct,UBERON:0001064,http://purl.obolibrary.org/obo/UBERON_0001064
#VHFPancreas,VH_F_pancreas,Pancreas,UBERON:0001264,http://purl.obolibrary.org/obo/UBERON_0001264
#VHFPancreas,VH_F_tail_of_pancreas,tail of pancreas,UBERON:0001151,http://purl.obolibrary.org/obo/UBERON_0001151
#VHFPancreas,VH_F_body_of_pancreas,body of pancreas,UBERON:0001150,http://purl.obolibrary.org/obo/UBERON_0001150
#VHFPancreas,VH_F_uncinate_process,uncinate process of pancreas,UBERON:0010373,http://purl.obolibrary.org/obo/UBERON_0010373
#VHFPancreas,VH_F_head_of_pancreas,head of pancreas,UBERON:0001069,http://purl.obolibrary.org/obo/UBERON_0001069
#VHFPancreas,VH_F_neck_of_pancreas,Neck of pancreas,FMA:14517,http://purl.org/sig/ont/fma/fma14517
