"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.0",,,,,,
,,,,,,
Author Name(s):,"Quardokus, E., Browne, K., Bueckle, A., Herr II, B., Börner, K.",,,,,
Author ORCID(s):,"0000-0001-7655-4833, 0000-0003-4066-7531, 0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
General Publication(s):,https://www.biorxiv.org/content/10.1101/2021.05.31.446440v1,,,,,
Data DOI:,10.48539/HBM527.RCXM.366,,,,,
Date:,7/28/2021,,,,,
Version Number:,v1.0,,,,,
,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHFVasculature,#VHFemaleOrgans,VHF_aorta,aorta,UBERON:0000947,http://purl.obolibrary.org/obo/UBERON_0000947,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_aortic_arch,arch of aorta,UBERON:0001508,http://purl.obolibrary.org/obo/UBERON_0001508,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_ascending_aorta,ascending aorta,UBERON:0001496,http://purl.obolibrary.org/obo/UBERON_0001496,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_descending_aorta,descending aorta,UBERON:0001514,http://purl.obolibrary.org/obo/UBERON_0001514,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_descending_aorta_a,descending aorta,UBERON:0001514,http://purl.obolibrary.org/obo/UBERON_0001514,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_descending_aorta_b,descending aorta,UBERON:0001514,http://purl.obolibrary.org/obo/UBERON_0001514,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_common_carotid_artery,left common carotid artery plus branches,UBERON:0001536,http://purl.obolibrary.org/obo/UBERON_0001536,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_common_carotid_artery_a,left common carotid artery plus branches,UBERON:0001536,http://purl.obolibrary.org/obo/UBERON_0001536,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_common_carotid_artery_b,left common carotid artery plus branches,UBERON:0001536,http://purl.obolibrary.org/obo/UBERON_0001536,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_subclavian_artery,left subclavian artery,UBERON:0001584,http://purl.obolibrary.org/obo/UBERON_0001584,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_subclavian_artery_a,left subclavian artery,UBERON:0001584,http://purl.obolibrary.org/obo/UBERON_0001584,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_subclavian_artery_b,left subclavian artery,UBERON:0001584,http://purl.obolibrary.org/obo/UBERON_0001584,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_brachiocephalic_artery_b,brachiocephalic artery,UBERON:0001529,http://purl.obolibrary.org/obo/UBERON_0001529,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_brachiocephalic_artery_a,brachiocephalic artery,UBERON:0001529,http://purl.obolibrary.org/obo/UBERON_0001529,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_cardiac_arteries,,,,
#VHFVasculature,#VHFemaleOrgans,VHF_left_anterior_descending_artery,Anterior descending branch of left pulmonary artery,fma:fma8636,http://purl.org/sig/ont/fma/fma8636,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_circumflex_artery,circumflex branch of left coronary artery,UBERON:0035422,http://purl.obolibrary.org/obo/UBERON_0035422,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_diagonal_branch_of_left_anterior_descending_artery,Diagonal branch of anterior descending branch of left coronary artery,fma:fma3860,http://purl.org/sig/ont/fma/fma3860,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_coronary_artery,left coronary artery,UBERON:0001626,http://purl.obolibrary.org/obo/UBERON_0001626,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_marginal_branch,Left marginal artery,fma:fma3902,http://purl.org/sig/ont/fma/fma3902,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_posterior_descending_branch_of_circumflex_branch_of_left_coronary_artery,left posterior descending branch of circumflex branch of left coronary artery,fma:fma322904,http://purl.org/sig/ont/fma/fma322904,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_posterior_left_ventricular_branch,Posterior ventricular branch of circumflex coronary artery,fma:fma13905,http://purl.org/sig/ont/fma/fma13905,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_right_coronary_artery,right coronary artery,UBERON:0001625,http://purl.obolibrary.org/obo/UBERON_0001625,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_right_marginal_artery,marginal branch of right coronary artery,fma:fma3818,http://purl.org/sig/ont/fma/fma3818,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_vein,vein,UBERON:0001638,http://purl.obolibrary.org/obo/UBERON_0001638,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_mesenteric_vein,superior mesenteric artery,UBERON:0001182,http://purl.obolibrary.org/obo/UBERON_0001182,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_median_sacral_vein,median sacral vein,UBERON:0006687,http://purl.obolibrary.org/obo/UBERON_0006687,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_hepatic_portal_vein,hepatic portal vein,UBERON:0001639,http://purl.obolibrary.org/obo/UBERON_0001639,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_splenic_vein,splenic vein,UBERON:0003713,http://purl.obolibrary.org/obo/UBERON_0003713,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_superior_mesenteric_vein,superior mesenteric vein,UBERON:0001138,http://purl.org/sig/ont/fma/fma14332,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_superior_rectal_vein,superior rectal artery,UBERON:0035040,http://purl.obolibrary.org/obo/UBERON_0035040,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_common_iliac_vein,common iliac vein,UBERON:0001139,http://purl.obolibrary.org/obo/UBERON_0001139,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_common_iliac_vein,Left common iliac vein,fma:fma:21388,http://purl.org/sig/ont/fma/fma21388,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_right_common_iliac_vein,Right common iliac vein,fma:fma:21387,http://purl.org/sig/ont/fma/fma21387,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_cardiac_vein,cardiac vein,UBERON:0004148,http://purl.obolibrary.org/obo/UBERON_0004148,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_coronary_sinus,coronary sinus,UBERON:0005438,http://purl.obolibrary.org/obo/UBERON_0005438,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_great_cardiac_vein,great vein of heart,UBERON:0006958,http://purl.obolibrary.org/obo/UBERON_0006958,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_middle_cardiac_vein,middle cardiac vein,UBERON:0009687,http://purl.obolibrary.org/obo/UBERON_0009687,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_oblique_vein_of_left_atrium,Oblique vein of left atrium,fma:fma:4715,http://purl.org/sig/ont/fma/fma4715,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_left_marginal_vein,left marginal vein,fma:fma:4708,http://purl.org/sig/ont/fma/fma4708,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_posterior_vein_of_left_ventricle,Posterior vein of left ventricle,fma:fma:4712,http://purl.org/sig/ont/fma/fma4712,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_anterior_cardiac_vein,Anterior cardiac vein,fma:fma:76767,http://purl.org/sig/ont/fma/fma76767,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_small_cardiac_vein,small cardiac vein,UBERON:0035374,http://purl.obolibrary.org/obo/UBERON_0035374,VH_F_Heart
#VHFVasculature,#VHFemaleOrgans,VHF_colic_veins,,,,
#VHFVasculature,#VHFemaleOrgans,VHF_ileocolic_vein,ileocolic vein,UBERON:0001219,http://purl.obolibrary.org/obo/UBERON_0001219,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_colic_vein,Left colic vein,fma:fma:15394,http://purl.org/sig/ont/fma/fma15394,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_middle_colic_vein,middle colic vein,UBERON:0001218,http://purl.obolibrary.org/obo/UBERON_0001218,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_right_colic_vein,Right colic vein,fma:fma:15407,http://purl.org/sig/ont/fma/fma15407,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_rectal_vein,Inferior rectal vein,fma:fma:21242,http://purl.org/sig/ont/fma/fma21242,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_rectal_vein_L,Inferior rectal vein,fma:fma:21242,http://purl.org/sig/ont/fma/fma21242,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_rectal_vein_R,Inferior rectal vein,fma:fma:21242,http://purl.org/sig/ont/fma/fma21242,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_internal_iliac_vein,internal iliac vein,UBERON:0001317,http://purl.obolibrary.org/obo/UBERON_0001317,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_internal_iliac_vein_L,internal iliac vein,UBERON:0001317,http://purl.obolibrary.org/obo/UBERON_0001317,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_internal_iliac_vein_R,internal iliac vein,UBERON:0001317,http://purl.obolibrary.org/obo/UBERON_0001317,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_internal_pudendal_vein,internal pudendal vein,UBERON:0018252,http://purl.obolibrary.org/obo/UBERON_0018252,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_internal_pudendal_vein_L,internal pudendal vein,UBERON:0018252,http://purl.obolibrary.org/obo/UBERON_0018252,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_internal_pudendal_vein_R,internal pudendal vein,UBERON:0018252,http://purl.obolibrary.org/obo/UBERON_0018252,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_pulmonary_vein,pulmonary vein,UBERON:0002016,http://purl.obolibrary.org/obo/UBERON_0002016,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_pulmonary_vein_L_sup,left superior pulmonary vein,fma:fma:49916,http://purl.org/sig/ont/fma/fma49916,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_pulmonary_vein_R_inf,left inferior pulmonary vein,fma:fma:49913,http://purl.org/sig/ont/fma/fma49913,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_pulmonary_vein_R_sup,right superior pulmonary vein,fma:fma:49914,http://purl.org/sig/ont/fma/fma49914,VH_F_Heart;VH_F_Vasculature
