Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Skin with Cell DIVE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Liz McDonough,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-7524-8260 ,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Fiona Ginty, Ari Karunamurthy",,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,"0000-0001-6638-683X, 0000-0002-5739-4923",,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi: 10.1073/pnas.1300136110 ,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM467.LRKZ.884,,,,,,,,,,,,,,,,,,,,,
Date:,"May 6, 2022",,,,,,,,,,,,,,,,,,,,,
Version number,v1.0,,,,,,,,,,,,,,,,,,,,,
uniprot_accession_number,HGNC_ID,target_name,antibody_name,host_organism,clonality,vendor,catalog_number,lot_number,recombinant,Dilution/Concentration,Conjugate,RRID,Application,Method,Tissue Preservation,Cycle Number,Fluorescent reporter,DOI for Protocol,ORCID ID of Author,Core Panel (4-6 markers),Essential 25-plex,Rationale
P01730,HGNC:1678,anti-CD4,Recombinant Anti-CD4 antibody [EPR6855] - BSA and Azide free (ab181724),Rabbit IgG,EPR6855,Abcam,ab181724,GR241749-2,Y,5,Cy3,AB_2864377,IHC,Cell DIVE,FFPE,5,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Y,Essential marker for helper T cells
P04234,HGNC:1673,anti-CD3,Monoclonal Mouse Anti-Human CD3 (Concentrate),Mouse IgG1,F7.2.38,Dako,M7254,20036648,N,5,Cy5,AB_2631163,IHC,Cell DIVE,FFPE,5,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Y,Essential marker for T cells
"P13645, P02533, P19012, P08779, P08727","HGNC:6413, HGNC:6416, HGNC:6421, HGNC:6423, HGNC:6436","anti-Cytokeratin 10, anti-Cytokeratin 14, anti-Cytokeratin 15, anti-Cytokeratin 16, anti-Cytokeratin 19","Cytokeratin Pan Type I Monoclonal Antibody (AE1), eBioscience™",Mouse IgG1,AE1,Thermo Fisher,14-9001,E11008-1632,N,2.5,Cy3,AB_1834477,IHC,Cell DIVE,FFPE,6,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Y,Essential segmentation marker for epithelial cells
P10966,HGNC:1707,anti-CD8,Monoclonal Mouse Anti-Human CD8 (Concentrate),Mouse IgG1,C8/144B,Dako,M7103,20042547,N,5,Cy5,AB_2075537,IHC,Cell DIVE,FFPE,6,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Y,Essential marker for cytotoxic T cells
P63261,HGNC:144,anti-SMA,"Anti-Actin, α-Smooth Muscle - Cy3™ antibody, Mouse monoclonal",Mouse IgG2a,1A4,Sigma,C6198,127M4859V,N,2.5,Cy3,AB_476856,IHC,Cell DIVE,FFPE,7,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,Y,Y,"Lineage marker for smooth muscle cells, multiple cell types (fibroblasts) and structures (vasculature)"
Q9BZS1,HGNC:6106,anti-FoxP3,Alexa Fluor® 647 anti-human FOXP3 Antibody,Mouse IgG1,206D,Biolegend,320114,B241845,N,10,Alexa Fluor 647,AB_439754,IHC,Cell DIVE,FFPE,7,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Y,Essential marker for regulatory T cells
P08670,HGNC:12692,anti-Vimentin,Vimentin (D21H3) XP® Rabbit mAb (Alexa Fluor® 647 Conjugate) #9856,Rabbit IgG,D21H3,Cell Signaling,9856,14,N,1.25,Alexa Fluor 647,AB_10834530,IHC,Cell DIVE,FFPE,8,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,Y,Y,"Essential pan-mesenchymal cell marker, stromal cells, fibroblasts, melanocytes"
P02462,HGNC:2202,anti-Collagen IV,"Anti-Collagen Type IV Antibody, 7S Domain, clone IV-4H12",Mouse IgG1,IV-4H12,Millipore,MAB3326,NG193686,N,5,Cy3,AB_2229703,IHC,Cell DIVE,FFPE,9,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Y,Structural marker for extracellular matrix
P46013,HGNC:7107,anti-Ki67,Recombinant Anti-Ki67 antibody [SP6] - BSA and Azide free (ab197547),Rabbit IgG,SP6,Abcam,ab197547,1510X1102D,Y,5,Cy5,AB_60162,IHC,Cell DIVE,FFPE,9,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,Y,Y,Marker for proliferating cells
P04637,HGNC:11998,anti-p53,Monoclonal Mouse Anti-Human p53 ,Mouse IgG2b,DO-7,Dako,M7001,95381,N,5,Cy5,AB_2206626,IHC,Cell DIVE,FFPE,10,,dx.doi.org/10.17504/protocols.io.bqjimuke,0000-0001-7524-8260,N,Y,Marker of cell cycle regulation
