node_id,node_group,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Natural_Killer_Cell_1,Natural_Killer_Cell,natural killer cell,CL:0000623,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Natural_Killer_Cell_2,Natural_Killer_Cell,natural killer cell,CL:0000623,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Natural_Killer_Cell_3,Natural_Killer_Cell,natural killer cell,CL:0000623,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Natural_Killer_Cell_4,Natural_Killer_Cell,natural killer cell,CL:0000623,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_1,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_2,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_3,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_4,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_5,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_6,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_7,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_8,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_9,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_10,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_11,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_12,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_13,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_14,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_15,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_16,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_17,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Fibroblast_18,Fibroblast,fibroblast,CL:0000057,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_1,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_2,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_3,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_4,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_5,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_6,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_7,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_8,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_9,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_10,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_11,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_12,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_13,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_14,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_15,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_16,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_17,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Tuft_Cell_18,Tuft_Cell,tuft cell of small intestine,CL:0009080,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_1,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_2,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_3,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_4,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_5,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_6,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_7,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_8,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_9,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_10,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_11,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_12,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_13,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_14,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_15,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_16,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_17,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_18,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_19,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_20,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_21,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_22,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_23,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_24,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_25,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_26,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_27,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_28,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_29,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
Enterocyte_30,Enterocyte,enterocyte,CL:0000584,intestinal villus,UBERON:0001213,Small Intestine,UBERON:0002108
