extraction_set_for,extraction_set_id,extraction_set_label,node_name,label
-,-,Landmarks,VH_F_spinal_cord_landmarks,spinal cord landmarks
-,-,Landmarks,VH_F_spinal_cord_landmark_vertebrae,vertebrae
https://purl.humanatlas.io/ref-organ/spinal-cord-female#primary,#VHFSpinalCordVertebraeLandmarks,Landmarks,VH_F_spinal_cord_landmark_thoracic_vertebrae,thoracic vertebrae
https://purl.humanatlas.io/ref-organ/spinal-cord-female#primary,#VHFSpinalCordVertebraeLandmarks,Landmarks,VH_F_spinal_cord_landmark_lumbar_vertebrae,lumbar vertebrae
https://purl.humanatlas.io/ref-organ/spinal-cord-female#primary,#VHFSpinalCordVertebraeLandmarks,Landmarks,VH_F_spinal_cord_landmark_cervical_vertebrae,cervical vertebrae
