extraction_set_for,extraction_set_id,extraction_set_label,node_name,label
-,-,Landmarks,VH_F_ureter_R_landmarks,-
https://purl.humanatlas.io/ref-organ/ureter-female-right,#VHFRightUreterLandmarks,Landmarks,VH_F_ureter_R_landmark_urinary_bladder,urinary bladder
https://purl.humanatlas.io/ref-organ/ureter-female-right,#VHFRightUreterLandmarks,Landmarks,VH_F_ureter_R_landmark_kidney_calyx,kidney calyx
https://purl.humanatlas.io/ref-organ/ureter-female-right,#VHFRightUreterLandmarks,Landmarks,VH_F_ureter_R_landmark_renal_pelvis,renal pelvis
