extraction_set_for,extraction_set_id,extraction_set_label,node_name,label
-,-,Landmarks,VH_F_main_bronchus_landmarks,main bronchus
https://purl.humanatlas.io/ref-organ/main-bronchus-female,#VHFMainBronchusLandmarks,Landmarks,VH_F_main_bronchus_landmark_carina,carina of trachea
https://purl.humanatlas.io/ref-organ/main-bronchus-female,#VHFMainBronchusLandmarks,Landmarks,VH_F_main_bronchus_landmark_lung_L,left lung
https://purl.humanatlas.io/ref-organ/main-bronchus-female,#VHFMainBronchusLandmarks,Landmarks,VH_F_main_bronchus_landmark_lung_R,right lung
https://purl.humanatlas.io/ref-organ/main-bronchus-female,#VHFMainBronchusLandmarks,Landmarks,VH_F_main_bronchus_landmark_lobar_tertiary_bronchus,intrapulmonary bronchus
https://purl.humanatlas.io/ref-organ/main-bronchus-female,#VHFMainBronchusLandmarks,Landmarks,VH_F_main_bronchus_landmark_trachea_tracheal_cartilage,tracheal cartilage
