"node_id","node_label","node_mapped_to","tissue_label","tissue_mapped_to","organ_label","organ_mapped_to"
"Ductal_Epithelial_Cell_1","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_2","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_3","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_4","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_5","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_6","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_7","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_8","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_9","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_10","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_11","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_12","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_13","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_14","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_15","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Centroacinar_Cell_1","pancreatic centro-acinar cell","http://purl.obolibrary.org/obo/CL_0002080","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Centroacinar_Cell_2","pancreatic centro-acinar cell","http://purl.obolibrary.org/obo/CL_0002080","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_16","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_17","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_18","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_19","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_20","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_21","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_22","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_23","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_24","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_25","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"intercalated_duct","intercalated duct of pancreas","http://purl.obolibrary.org/obo/UBERON_0014726","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell","Pancreatic acinus","http://purl.obolibrary.org/obo/UBERON_0001263","intercalated duct of pancreas","UBERON:0014726","Pancreas","UBERON:0001264"
