"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping",,,,,,,
,,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,,
Reviewer(s):,,,,,,,
Reviewer ORCID(s):,,,,,,,
General Publication(s):,"Borner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. ""Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas."" Nature Cell Biology 23 (11): 1117-28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,,
Data DOI:,https://doi.org/10.48539/HBM224.QJKZ.987,,,,,,
Date:,6/15/24,,,,,,
Version Number:,v1.6,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,node_type,glb file of single organs
#VHFLigamentsUterusOvaries,#VHFemaleOrgans,VH_F_broad_ligament,broad ligament of uterus,UBERON:0012332,http://purl.obolibrary.org/obo/UBERON_0012332,mesh,VH_F_Ligaments_Uterus_Ovaries
-,#VHFemaleOrgans,VH_F_mesosalpinx,-,-,-,organizational,VH_F_Ligaments_Uterus_Ovaries
#VHFLigamentsUterusOvaries,#VHFemaleOrgans,VH_F_mesosalpinx_L,Left mesosalpinx,FMA:19810,http://purl.org/sig/ont/fma/fma19810,mesh,VH_F_Ligaments_Uterus_Ovaries
#VHFLigamentsUterusOvaries,#VHFemaleOrgans,VH_F_mesosalpinx_R,Right mesosalpinx,FMA:19809,http://purl.org/sig/ont/fma/fma19809,mesh,VH_F_Ligaments_Uterus_Ovaries
-,#VHFemaleOrgans,VH_F_mesovarium,-,-,-,organizational,VH_F_Ligaments_Uterus_Ovaries
#VHFLigamentsUterusOvaries,#VHFemaleOrgans,VH_F_mesovarium_R,Right mesovarium,FMA:19817,http://purl.org/sig/ont/fma/fma19817,mesh,VH_F_Ligaments_Uterus_Ovaries
#VHFLigamentsUterusOvaries,#VHFemaleOrgans,VH_F_mesovarium_L,Left mesovarium,FMA:19818,http://purl.org/sig/ont/fma/fma19818,mesh,VH_F_Ligaments_Uterus_Ovaries
-,#VHFemaleOrgans,VH_F_ovary,-,-,-,organizational,VH_F_Ligaments_Uterus_Ovaries
#VHFLeftOvary,#VHFemaleOrgans,VH_F_left_ovary,Left ovary,FMA:7214,http://purl.org/sig/ont/fma/fma7214,mesh,3d-vh-f-ovary-l
#VHFRightOvary,#VHFemaleOrgans,VH_F_right_ovary,Right ovary,FMA:7213,http://purl.org/sig/ont/fma/fma7213,mesh,3d-vh-f-ovary-r
#VHFUterus,#VHFemaleOrgans,VH_F_uterus,uterus,UBERON:0000995,http://purl.obolibrary.org/obo/UBERON_0000995,organizational,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_abdominal_ostium_of_uterine_tube,Abdominal ostium of uterine tube,FMA:77049,http://purl.org/sig/ont/fma/fma77049,surface,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_body_of_uterus,body of uterus,UBERON:0009853,http://purl.obolibrary.org/obo/UBERON_0009853,surface,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_fundus_of_uterus,Fundus of uterus,FMA:17561,http://purl.org/sig/ont/fma/fma17561,surface,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_cornua,-,-,-,surface,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_lower_uterine_segment,Lower uterine segment,FMA:17752,http://purl.org/sig/ont/fma/fma17752,surface,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_posterior_wall_of_uterus,Posterior wall of uterus,FMA:224878,http://purl.org/sig/ont/fma/fma224878,mesh,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_anterior_wall_of_uterus,Anterior wall of uterus,FMA:224876,http://purl.org/sig/ont/fma/fma224876,mesh,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_cervix,uterine cervix,UBERON:0000002,http://purl.obolibrary.org/obo/UBERON_0000002,surface,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_internal_cervical_os,internal cervical os,UBERON:0013759,http://purl.obolibrary.org/obo/UBERON_0013759,surface,3d-vh-f-uterus
#VHFUterus,#VHFemaleOrgans,VH_F_external_cervical_os,external cervical os,UBERON:0013760,http://purl.obolibrary.org/obo/UBERON_0013760,surface,3d-vh-f-uterus
-,#VHFemaleOrgans,VH_F_digestive_system,digestive system,UBERON:0001007,http://purl.obolibrary.org/obo/UBERON_0001007,organizational,3d-vh-f-united
#VHFPalatineTonsil,#VHFemaleOrgans,VH_F_palatine_tonsil,palatine tonsil,UBERON:0002373,http://purl.obolibrary.org/obo/UBERON_0002373,organizational,3d-vh-f-united
#VHFLeftPalatineTonsil,#VHFemaleOrgans,VH_F_palatine_tonsil_L,left palatine tonsil,FMA:54974,http://purl.org/sig/ont/fma/fma54974,mesh,3d-vh-f-palatine-tonsil-l
#VHFRightPalatineTonsil,#VHFemaleOrgans,VH_F_palatine_tonsil_R,right palatine tonsil,FMA:54973,http://purl.org/sig/ont/fma/fma54973,mesh,3d-vh-f-palatine-tonsil-r
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_colon,large intestine,UBERON:0000059,http://purl.obolibrary.org/obo/UBERON_0000059,organizational,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_hepatic_flexure_of_colon,hepatic flexure of colon,UBERON:0022277,http://purl.obolibrary.org/obo/UBERON_0022277,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_transverse_colon,transverse colon,UBERON:0001157,http://purl.obolibrary.org/obo/UBERON_0001157,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_ascending_colon,ascending colon,UBERON:0001156,http://purl.obolibrary.org/obo/UBERON_0001156,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_vermiform_appendix,vermiform appendix,UBERON:0001154,http://purl.obolibrary.org/obo/UBERON_0001154,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_descending_colon,descending colon,UBERON:0001158,http://purl.obolibrary.org/obo/UBERON_0001158,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_ileocecal_valve,ileocecal valve,UBERON:0000569,http://purl.obolibrary.org/obo/UBERON_0000569,surface,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_caecum,caecum,UBERON:0001153,http://purl.obolibrary.org/obo/UBERON_0001153,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_rectum,rectum,UBERON:0001052,http://purl.obolibrary.org/obo/UBERON_0001052,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_sigmoid_colon,sigmoid colon,UBERON:0001159,http://purl.obolibrary.org/obo/UBERON_0001159,mesh,3d-sbu-f-large-intestine
#VHFLargeIntestine,#VHFemaleOrgans,VH_F_splenic_flexure_of_colon,splenic flexure of colon,UBERON:0022276,http://purl.obolibrary.org/obo/UBERON_0022276,mesh,3d-sbu-f-large-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_small_intestine,small intestine,UBERON:0002108,http://purl.obolibrary.org/obo/UBERON_0002108,organizational,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_duodenum,duodenum,UBERON:0002114,http://purl.obolibrary.org/obo/UBERON_0002114,organizational,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_duodenum_superior,superior part of duodenum,FMA:7206,http://purl.org/sig/ont/fma/fma14926,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_duodenal_ampulla,duodenal ampulla,UBERON:0013644,http://purl.obolibrary.org/obo/UBERON_0013644,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_duodenum_descending,descending part of duodenum,FMA:14928,http://purl.org/sig/ont/fma/fma14928,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_sphincter_of_heptopancreatic_ampulla,Sphincter of hepatopancreatic ampulla,FMA:15077,http://purl.org/sig/ont/fma/fma15077,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_duodenum_ascending,ascending part of duodenum,FMA:14930,http://purl.org/sig/ont/fma/fma14930,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_duodenum_horizontal,horizontal part of duodenum,FMA:14929,http://purl.org/sig/ont/fma/fma14929,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_jejenum,jejunum,UBERON:0002115,http://purl.obolibrary.org/obo/UBERON_0002115,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_ileum,ileum,UBERON:0002116,http://purl.obolibrary.org/obo/UBERON_0002116,mesh,3d-vh-f-small-intestine
#VHFSmallIntestine,#VHFemaleOrgans,VH_F_ileum_terminal,distal part of ileum,FMA:14966,http://purl.org/sig/ont/fma/fma14966,mesh,3d-vh-f-small-intestine
#VHFBiliaryTree,#VHFemaleOrgans,VH_F_biliary_tree,biliary tree,UBERON:0001173,http://purl.obolibrary.org/obo/UBERON_0001173,organizational,VH_F_Biliary_Tree
#VHFBiliaryTree,#VHFemaleOrgans,VH_F_ducts_of_liver,-,-,-,organizational,VH_F_Biliary_Tree
#VHFLiverDucts,#VHFemaleOrgans,VH_F_right_hepatic_duct,right hepatic duct,UBERON:0001176,http://purl.obolibrary.org/obo/UBERON_0001176,mesh,VH_F_Biliary_Tree
#VHFLiverDucts,#VHFemaleOrgans,VH_F_left_hepatic_duct,left hepatic duct,UBERON:0001177,http://purl.obolibrary.org/obo/UBERON_0001177,mesh,VH_F_Biliary_Tree
#VHFLiverDucts,#VHFemaleOrgans,VH_F_common_hepatic_duct,common hepatic duct,UBERON:0001175,http://purl.obolibrary.org/obo/UBERON_0001175,mesh,VH_F_Biliary_Tree
#VHFPancreasDucts,#VHFemaleOrgans,VH_F_ducts_of_pancreas,-,-,-,organizational,VH_F_Biliary_Tree
#VHFPancreasDucts,#VHFemaleOrgans,VH_F_hepatopancreatic_ampulla,hepatopancreatic ampulla,UBERON:0004913,http://purl.obolibrary.org/obo/UBERON_0004913,mesh,VH_F_Biliary_Tree
#VHFPancreasDucts,#VHFemaleOrgans,VH_F_dorsal_pancreatic_duct,dorsal pancreatic duct,UBERON:0005429,http://purl.obolibrary.org/obo/UBERON_0005429,mesh,VH_F_Biliary_Tree
#VHFPancreasDucts,#VHFemaleOrgans,VH_F_common_bile_duct,common bile duct,UBERON:0001174,http://purl.obolibrary.org/obo/UBERON_0001174,mesh,VH_F_Biliary_Tree
#VHFPancreasDucts,#VHFemaleOrgans,VH_F_ventral_pancreatic_duct,Ventral pancreatic duct,UBERON:0001064,http://purl.obolibrary.org/obo/UBERON_0001064,mesh,VH_F_Biliary_Tree
#VHFGallbladderDucts,#VHFemaleOrgans,VH_F_ducts_of_gallbladder,-,-,-,organizational,VH_F_Biliary_Tree
#VHFGallbladderDucts,#VHFemaleOrgans,VH_F_cystic_duct,cystic duct,UBERON:0001152,http://purl.obolibrary.org/obo/UBERON_0001152,mesh,VH_F_Biliary_Tree
#VHFLiver,#VHFemaleOrgans,VH_F_liver,liver,UBERON:0002107,http://purl.obolibrary.org/obo/UBERON_0002107,organizational,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_gastric_impression_of_liver,gastric impression of liver,FMA:14487,http://purl.org/sig/ont/fma/fma14487,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_suprarenal_impression_of_liver,Suprarenal impression of liver,FMA:14489,http://purl.org/sig/ont/fma/fma14489,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_renal_impression_of_liver,renal impression of liver,FMA:14488,http://purl.org/sig/ont/fma/fma14488,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_duodenal_impression_of_liver,duodenal impression of liver,FMA:14485,http://purl.org/sig/ont/fma/fma14485,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_esophageal_impression_of_liver,esophageal impression of liver,FMA:14486,http://purl.org/sig/ont/fma/fma14486,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_porta_hepatis,porta hepatis,FMA:15758,http://purl.org/sig/ont/fma/fma15758,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_colic_impression_of_liver,colic impression of liver,FMA:14484,http://purl.org/sig/ont/fma/fma14484,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_capsule_of_the_liver,capsule of the liver,UBERON:0016479,http://purl.obolibrary.org/obo/UBERON_0016479,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_bare_area_of_liver,bare area of liver,UBERON:0001149,http://purl.obolibrary.org/obo/UBERON_0001149,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_diaphragmatic_surface_of_liver,diaphragmatic surface of liver,FMA:15729,http://purl.org/sig/ont/fma/fma15729,surface,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_couinaud_liver_segment,-,-,-,organizational,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_left_lobe_of_liver,left lobe of liver,UBERON:0001115,http://purl.obolibrary.org/obo/UBERON_0001115,organizational,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_liver_left_lateral_lobe,liver left lateral lobe,UBERON:0006727,http://purl.obolibrary.org/obo/UBERON_0006727,organizational,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_left_anterolateral_segment,-,-,-,surface,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_left_superomedial_segment,-,-,-,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_liver_left_medial_lobe,liver left medial lobe,UBERON:0006728,http://purl.obolibrary.org/obo/UBERON_0006728,organizational,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_left_superomedial_segment1,-,-,-,surface,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_left_inferomedial_segment,-,-,-,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_quadrate_lobe,quadrate lobe of liver,UBERON:0001116,http://purl.obolibrary.org/obo/UBERON_0001116,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_right_lobe_of_liver,right lobe of liver,UBERON:0001114,http://purl.obolibrary.org/obo/UBERON_0001114,organizational,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_right_anterosuperior_segment,-,-,-,surface,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_right_posteroinferior_segment,-,-,-,surface,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_right_posterosuperior_segment,-,-,-,surface,3d-vh-f-liver
-,#VHFemaleOrgans,VH_F_right_anteroinferior_segment,-,-,-,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_caudate_lobe,caudate lobe of liver,UBERON:0001117,http://purl.obolibrary.org/obo/UBERON_0001117,surface,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_ligament_of_liver,-,-,-,organizational,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_coronary_ligament_of_liver,coronary ligament of liver,UBERON:0013138,http://purl.obolibrary.org/obo/UBERON_0013138,mesh,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_falciform_ligament,falciform ligament,UBERON:0001247,http://purl.obolibrary.org/obo/UBERON_0001247,mesh,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_triangular_ligament_of_liver,triangular ligament of liver,UBERON:0035444,http://purl.obolibrary.org/obo/UBERON_0035444,mesh,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_ligamentum_venosum,ligamentum venosum,UBERON:0006587,http://purl.obolibrary.org/obo/UBERON_0006587,mesh,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_round_ligament_of_liver,round ligament of liver,UBERON:0006588,http://purl.obolibrary.org/obo/UBERON_0006588,mesh,3d-vh-f-liver
#VHFLiver,#VHFemaleOrgans,VH_F_hepataduodenal_ligament,hepatoduodenal ligament,UBERON:0012472,http://purl.obolibrary.org/obo/UBERON_0012472,mesh,3d-vh-f-liver
#VHFPancreas,#VHFemaleOrgans,VH_F_pancreas,Pancreas,UBERON:0001264,http://purl.obolibrary.org/obo/UBERON_0001264,organizational,3d-vh-f-pancreas
#VHFPancreas,#VHFemaleOrgans,VH_F_tail_of_pancreas,tail of pancreas,UBERON:0001151,http://purl.obolibrary.org/obo/UBERON_0001151,surface,3d-vh-f-pancreas
#VHFPancreas,#VHFemaleOrgans,VH_F_body_of_pancreas,body of pancreas,UBERON:0001150,http://purl.obolibrary.org/obo/UBERON_0001150,surface,3d-vh-f-pancreas
#VHFPancreas,#VHFemaleOrgans,VH_F_ucinate_process1,uncinate process of pancreas,UBERON:0010373,http://purl.obolibrary.org/obo/UBERON_0010373,surface,3d-vh-f-pancreas
#VHFPancreas,#VHFemaleOrgans,VH_F_head_of_pancreas,head of pancreas,UBERON:0001069,http://purl.obolibrary.org/obo/UBERON_0001069,surface,3d-vh-f-pancreas
#VHFPancreas,#VHFemaleOrgans,VH_F_neck_of_pancreas,Neck of pancreas,FMA:14517,http://purl.org/sig/ont/fma/fma14517,surface,3d-vh-f-pancreas
-,-,VH_F_gallbladder_,-,-,-,organizational,3d-vh-f-united
#VHFGallbladder,#VHFemaleOrgans,VH_F_gallbladder,gallbladder,UBERON:0002110,http://purl.obolibrary.org/obo/UBERON_0002110,mesh,VH_F_Gallbladder
-,#VHFemaleOrgans,VH_F_urinary_system,renal system,UBERON:0001008,http://purl.obolibrary.org/obo/UBERON_0001008,organizational,3d-vh-f-united
-,#VHFemaleOrgans,VH_F_upper_urinary_tract,-,-,-,organizational,-
-,#VHFemaleOrgans,VH_F_kidney,kidney,UBERON:0002113,http://purl.obolibrary.org/obo/UBERON_0002113,organizational,3d-vh-f-united
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_left_kidney,left kidney,UBERON:0004538,http://purl.obolibrary.org/obo/UBERON_0004538,organizational,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_kidney_capsule_L,kidney capsule,UBERON:0002015,http://purl.obolibrary.org/obo/UBERON_0002015,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_hilum_of_kidney_L,hilum of kidney,UBERON:0008716,http://purl.obolibrary.org/obo/UBERON_0008716,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_medulla_L,renal medulla,UBERON:0000362,http://purl.obolibrary.org/obo/UBERON_0000362,organizational,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,organizational,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_a,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_b,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_c,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_d,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_e,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_f,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_g,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_h,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_i,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_j,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_L_k,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,organizational,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_a,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_b,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_c,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_d,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_e,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_f,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_g,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_h,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_i,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_j,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_pyramid_L_k,renal pyramid,UBERON:0004200,http://purl.obolibrary.org/obo/UBERON_0004200,mesh,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_cortex_of_kidney_L,cortex of kidney,UBERON:0001225,http://purl.obolibrary.org/obo/UBERON_0001225,organizational,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_renal_column_L,renal column,UBERON:0001284,http://purl.obolibrary.org/obo/UBERON_0001284,surface,3d-vh-f-kidney-l
#VHFLeftKidneyV1.1,#VHFemaleOrgans,VH_F_outer_cortex_of_kidney_L,outer cortex of kidney,UBERON:0002189,http://purl.obolibrary.org/obo/UBERON_0002189,mesh,3d-vh-f-kidney-l
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_right_kidney,right kidney,UBERON:0004539,http://purl.obolibrary.org/obo/UBERON_0004539,organizational,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_kidney_capsule_R,kidney capsule,UBERON:0002015,http://purl.obolibrary.org/obo/UBERON_0002015,mesh,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_hilum_of_kidney_R,hilum of kidney,UBERON:0008716,http://purl.obolibrary.org/obo/UBERON_0008716,surface,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_cortex_of_kidney_R,cortex of kidney,UBERON:0001225,http://purl.obolibrary.org/obo/UBERON_0001225,organizational,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_outer_cortex_of_kidney_R,outer cortex of kidney,UBERON:0002189,http://purl.obolibrary.org/obo/UBERON_0002189,mesh,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_column_R,renal column,UBERON:0001284,http://purl.obolibrary.org/obo/UBERON_0001284,surface,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_medulla_R,renal medulla,UBERON:0000362,http://purl.obolibrary.org/obo/UBERON_0000362,organizational,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_R,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,organizational,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_R_a,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_R_b,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_R_c,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_R_d,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_R_e,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-r
#VHFRightKidneyV1.1,#VHFemaleOrgans,VH_F_renal_papilla_R_f,renal papilla,UBERON:0001228,http://purl.obolibrary.org/obo/UBERON_0001228,surface,3d-vh-f-kidney-r
