"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping",,,,,,,
,,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,,
Reviewer(s):,,,,,,,
Reviewer ORCID(s):,,,,,,,
General Publication(s):,"Borner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. ""Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas."" Nature Cell Biology 23 (11): 1117-28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,,
Data DOI:,https://doi.org/10.48539/HBM224.QJKZ.987,,,,,,
Date:,6/15/24,,,,,,
Version Number:,v1.6,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,node_type,glb file of single organs
-,#VHFemaleOrgans,VH_F_eyes,eye,UBERON:0000970,http://purl.obolibrary.org/obo/UBERON_0000970,organizational,3d-vh-f-united
#VHFRightEye,#VHFemaleOrgans,VH_F_eye_R,right eye,UBERON:0004549,http://purl.obolibrary.org/obo/UBERON_0004549,organizational,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_retina_R,Right retina,FMA:58302,http://purl.org/sig/ont/fma/fma58302,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_fovea_R,Right fovea centralis,FMA:58661,http://purl.org/sig/ont/fma/fma58661,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_macula_lutea_R,Right macula lutea,FMA:58638,http://purl.org/sig/ont/fma/fma58638,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_optic_disc_R,Right optic disc,FMA:58635,http://purl.org/sig/ont/fma/fma58635,mesh,3d-vh-f-eye-r
-,-,VH_F_palpebral_conjunctiva_R,-,-,-,organizational,-
#VHFRightEye,#VHFemaleOrgans,VH_F_palpebral_conjunctiva_of_right_upper_eyelid,Palpebral conjunctiva of right upper eyelid,FMA:223076,http://purl.org/sig/ont/fma/fma223076,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_palpebral_conjunctiva_of_right_lower_eyelid,Palpebral conjunctiva of right lower eyelid,FMA:223074,http://purl.org/sig/ont/fma/fma223074,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_sclera_R,Right sclera,FMA:58271,http://purl.org/sig/ont/fma/fma58271,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_optic_choroid_R,Right choroid,FMA:58299,http://purl.org/sig/ont/fma/fma58299,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_pupil_R,right pupil,UBERON:0010224,http://purl.obolibrary.org/obo/UBERON_0010224,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_ciliary_processes_R,ciliary processes,UBERON:0010427,http://purl.obolibrary.org/obo/UBERON_0010427,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_suspensory_ligament_of_lens_R,Suspensory ligament of right lens,FMA:58839,http://purl.org/sig/ont/fma/fma58839,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_ora_serrata_of_retina_R,Right ora serrata,FMA:58601,http://purl.org/sig/ont/fma/fma58601,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_corneo_scleral_junction_R,Right corneoscleral junction,FMA:58343,http://purl.org/sig/ont/fma/fma58343,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_lens_R,Right lens,FMA:58242,http://purl.org/sig/ont/fma/fma58242,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_schlemms_canal_R,Right scleral venous sinus,FMA:51874,http://purl.org/sig/ont/fma/fma51874,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_aqueous_humor_R,Aqueous humor of right eyeball,FMA:58820,http://purl.org/sig/ont/fma/fma58820,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_ciliary_body_R,Right ciliary body,FMA:58296,http://purl.org/sig/ont/fma/fma58296,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_ciliary_muscle_R,Right ciliary muscle,FMA:49152,http://purl.org/sig/ont/fma/fma49152,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_trabecular_meshwork_R,eye trabecular meshwork,UBERON:0005969,http://purl.obolibrary.org/obo/UBERON_0005969,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_iris_R,Right iris,FMA:58236,http://purl.org/sig/ont/fma/fma58236,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_bulbar_conjunctiva_R,Right bulbar conjunctiva,FMA:59028,http://purl.org/sig/ont/fma/fma59028,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_cornea_R,Right cornea,FMA:58239,http://purl.org/sig/ont/fma/fma58239,mesh,3d-vh-f-eye-r
#VHFRightEye,#VHFemaleOrgans,VH_F_vitreous_humor_R,Humor of right vitreous body,FMA:261236,http://purl.org/sig/ont/fma/fma261236,mesh,3d-vh-f-eye-r
#VHFLeftEye,#VHFemaleOrgans,VH_F_eye_L,left eye,UBERON:0004548,http://purl.obolibrary.org/obo/UBERON_0004548,organizational,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_retina_L,Left retina,FMA:58303,http://purl.org/sig/ont/fma/fma58303,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_fovea_L,Left fovea centralis,FMA:58663,http://purl.org/sig/ont/fma/fma58663,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_macula_lutea_L,Left macula lutea,FMA:58639,http://purl.org/sig/ont/fma/fma58639,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_optic_disc_L,Left optic disc,FMA:58636,http://purl.org/sig/ont/fma/fma58636,mesh,3d-vh-f-eye-l
-,-,VH_F_palpebral_conjunctiva_L,-,-,-,organizational,-
#VHFLeftEye,#VHFemaleOrgans,VH_F_palpebral_conjunctiva_of_left_upper_eyelid,Palpebral conjunctiva of left upper eyelid,FMA:223078,http://purl.org/sig/ont/fma/fma223078,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_palpebral_conjunctiva_of_left_lower_eyelid,Palpebral conjunctiva of left lower eyelid,FMA:223075,http://purl.org/sig/ont/fma/fma223075,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_vitreous_humor_L,Humor of left vitreous body,FMA:261238,http://purl.org/sig/ont/fma/fma261238,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_cornea_L,Left cornea,FMA:58240,http://purl.org/sig/ont/fma/fma58240,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_bulbar_conjunctiva_L,Left bulbar conjunctiva,FMA:59029,http://purl.org/sig/ont/fma/fma59029,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_iris_L,Left iris,FMA:58237,http://purl.org/sig/ont/fma/fma58237,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_trabecular_meshwork_L,eye trabecular meshwork,UBERON:0005969,http://purl.obolibrary.org/obo/UBERON_0005969,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_ciliary_body_L,Left ciliary body,FMA:58297,http://purl.org/sig/ont/fma/fma58297,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_ciliary_muscle_L,Left ciliary muscle,FMA:49153,http://purl.org/sig/ont/fma/fma49153,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_aqueous_humor_L,Aqueous humor of left eyeball,FMA:58821,http://purl.org/sig/ont/fma/fma58821,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_schlemms_canal_L,Left scleral venous sinus,FMA:51875,http://purl.org/sig/ont/fma/fma51875,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_lens_L,Left lens,FMA:58243,http://purl.org/sig/ont/fma/fma58243,mesh,3d-vh-f-eye-l
