node_id,node_group,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Skin_Fibroblast_1,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_2,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_3,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_4,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_5,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_6,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_7,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_8,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_9,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_10,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_11,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_12,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_13,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_14,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_15,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_16,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_17,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_18,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_19,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_20,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_21,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_22,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_23,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_24,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_25,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_26,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_27,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_28,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_29,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_30,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_31,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_32,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_33,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_34,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_35,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_36,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_37,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_38,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Skin_Fibroblast_39,Skin_Fibroblast,skin fibroblast,CL:0002620,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Blood_Vessel_1,Blood_Vessel,endothelial cell,CL:0000115,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Blood_Vessel_2,Blood_Vessel,endothelial cell,CL:0000115,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Blood_Vessel_3,Blood_Vessel,endothelial cell,CL:0000115,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Blood_Vessel_4,Blood_Vessel,endothelial cell,CL:0000115,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Blood_Vessel_5,Blood_Vessel,endothelial cell,CL:0000115,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Blood_Vessel_6,Blood_Vessel,endothelial cell,CL:0000115,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
Blood_Vessel_7,Blood_Vessel,endothelial cell,CL:0000115,papillary layer of dermis,UBERON:0001992,Skin,UBERON:0002097
